split,subset,task,pairs,accuracy
dev,Draft,learning-agency-lab-automated-essay-scoring-2,30,0.8333333333333334
dev,Draft,mlsp-2013-birds,13,0.5384615384615384
dev,Draft,new-york-city-taxi-fare-prediction,6,1.0
dev,Draft,nomad2018-predict-transparent-conductors,15,0.5333333333333333
dev,Draft,petfinder-pawpularity-score,10,0.7
dev,Draft,random-acts-of-pizza,10,0.5
dev,Draft,ranzcr-clip-catheter-line-classification,16,0.6875
dev,Draft,spooky-author-identification,23,0.782608695652174
dev,Draft,tabular-playground-series-dec-2021,14,0.7142857142857143
dev,Draft,tabular-playground-series-may-2022,12,0.4166666666666667
dev,Draft,text-normalization-challenge-english-language,1,0.0
dev,Draft,text-normalization-challenge-russian-language,7,0.7142857142857143
dev,Draft,tweet-sentiment-extraction,6,0.8333333333333334
dev,Draft,us-patent-phrase-to-phrase-matching,5,1.0
dev,Draft,ventilator-pressure-prediction,58,0.7241379310344828
dev,Draft,whale-categorization-playground,14,0.7857142857142857
dev,Improve,aptos2019-blindness-detection,1,0.0
dev,Improve,denoising-dirty-documents,12,0.5
dev,Improve,dog-breed-identification,19,0.6842105263157895
dev,Improve,dogs-vs-cats-redux-kernels-edition,9,0.3333333333333333
dev,Improve,google-quest-challenge,16,0.5625
dev,Improve,histopathologic-cancer-detection,2,1.0
dev,Improve,kuzushiji-recognition,1,0.0
dev,Improve,leaf-classification,24,0.375
dev,Improve,learning-agency-lab-automated-essay-scoring-2,11,0.6363636363636364
dev,Improve,mlsp-2013-birds,18,0.3888888888888889
dev,Improve,new-york-city-taxi-fare-prediction,3,0.0
dev,Improve,nomad2018-predict-transparent-conductors,9,0.2222222222222222
dev,Improve,petfinder-pawpularity-score,21,0.5714285714285714
dev,Improve,random-acts-of-pizza,6,0.5
dev,Improve,ranzcr-clip-catheter-line-classification,6,0.3333333333333333
dev,Improve,spooky-author-identification,13,0.8461538461538461
dev,Improve,tabular-playground-series-dec-2021,7,0.8571428571428571
dev,Improve,tabular-playground-series-may-2022,7,0.5714285714285714
dev,Improve,text-normalization-challenge-english-language,5,0.4
dev,Improve,text-normalization-challenge-russian-language,7,0.2857142857142857
dev,Improve,tweet-sentiment-extraction,2,0.5
dev,Improve,us-patent-phrase-to-phrase-matching,16,0.6875
dev,Improve,ventilator-pressure-prediction,23,0.43478260869565216
dev,Improve,whale-categorization-playground,19,0.5789473684210527
test,merged,aptos2019-blindness-detection,10,0.6
test,merged,cassava-leaf-disease-classification,1,0.0
test,merged,chaii-hindi-and-tamil-question-answering,42,0.5
test,merged,denoising-dirty-documents,48,0.5625
test,merged,dog-breed-identification,60,0.5666666666666667
test,merged,dogs-vs-cats-redux-kernels-edition,21,0.47619047619047616
test,merged,facebook-recruiting-iii-keyword-extraction,8,0.5
test,merged,google-quest-challenge,20,0.6
test,merged,histopathologic-cancer-detection,6,0.3333333333333333
test,merged,kuzushiji-recognition,7,1.0
test,merged,leaf-classification,100,0.51
test,merged,learning-agency-lab-automated-essay-scoring-2,35,0.6
test,merged,mlsp-2013-birds,88,0.5113636363636364
test,merged,new-york-city-taxi-fare-prediction,32,0.625
test,merged,nomad2018-predict-transparent-conductors,48,0.5416666666666666
test,merged,petfinder-pawpularity-score,57,0.5789473684210527
test,merged,random-acts-of-pizza,15,0.3333333333333333
test,merged,ranzcr-clip-catheter-line-classification,26,0.6153846153846154
test,merged,spooky-author-identification,82,0.6219512195121951
test,merged,tabular-playground-series-dec-2021,16,0.75
test,merged,tabular-playground-series-may-2022,48,0.4583333333333333
test,merged,text-normalization-challenge-english-language,19,0.6842105263157895
test,merged,text-normalization-challenge-russian-language,25,0.68
test,merged,tgs-salt-identification-challenge,11,0.8181818181818182
test,merged,tweet-sentiment-extraction,5,0.8
test,merged,us-patent-phrase-to-phrase-matching,39,0.7948717948717948
test,merged,ventilator-pressure-prediction,30,0.4666666666666667
test,merged,whale-categorization-playground,32,0.59375
test,Draft,aptos2019-blindness-detection,1,1.0
test,Draft,cassava-leaf-disease-classification,1,0.0
test,Draft,chaii-hindi-and-tamil-question-answering,11,0.45454545454545453
test,Draft,denoising-dirty-documents,14,0.2857142857142857
test,Draft,dog-breed-identification,25,0.52
test,Draft,dogs-vs-cats-redux-kernels-edition,6,0.8333333333333334
test,Draft,facebook-recruiting-iii-keyword-extraction,1,0.0
test,Draft,google-quest-challenge,8,0.75
test,Draft,histopathologic-cancer-detection,3,0.0
test,Draft,kuzushiji-recognition,4,1.0
test,Draft,leaf-classification,18,0.5
test,Draft,learning-agency-lab-automated-essay-scoring-2,20,0.65
test,Draft,mlsp-2013-birds,25,0.36
test,Draft,new-york-city-taxi-fare-prediction,11,0.45454545454545453
test,Draft,nomad2018-predict-transparent-conductors,26,0.6538461538461539
test,Draft,petfinder-pawpularity-score,25,0.68
test,Draft,random-acts-of-pizza,7,0.2857142857142857
test,Draft,ranzcr-clip-catheter-line-classification,12,0.5
test,Draft,spooky-author-identification,16,0.8125
test,Draft,tabular-playground-series-dec-2021,6,1.0
test,Draft,tabular-playground-series-may-2022,18,0.5555555555555556
test,Draft,text-normalization-challenge-english-language,8,0.75
test,Draft,text-normalization-challenge-russian-language,13,0.7692307692307693
test,Draft,tgs-salt-identification-challenge,2,1.0
test,Draft,tweet-sentiment-extraction,5,0.8
test,Draft,us-patent-phrase-to-phrase-matching,10,0.9
test,Draft,ventilator-pressure-prediction,10,0.3
test,Draft,whale-categorization-playground,8,0.375
test,Improve,aptos2019-blindness-detection,9,0.5555555555555556
test,Improve,chaii-hindi-and-tamil-question-answering,31,0.5161290322580645
test,Improve,denoising-dirty-documents,34,0.6764705882352942
test,Improve,dog-breed-identification,35,0.6
test,Improve,dogs-vs-cats-redux-kernels-edition,15,0.3333333333333333
test,Improve,facebook-recruiting-iii-keyword-extraction,7,0.5714285714285714
test,Improve,google-quest-challenge,12,0.5
test,Improve,histopathologic-cancer-detection,3,0.6666666666666666
test,Improve,kuzushiji-recognition,3,1.0
test,Improve,leaf-classification,82,0.5121951219512195
test,Improve,learning-agency-lab-automated-essay-scoring-2,15,0.5333333333333333
test,Improve,mlsp-2013-birds,63,0.5714285714285714
test,Improve,new-york-city-taxi-fare-prediction,21,0.7142857142857143
test,Improve,nomad2018-predict-transparent-conductors,22,0.4090909090909091
test,Improve,petfinder-pawpularity-score,32,0.5
test,Improve,random-acts-of-pizza,8,0.375
test,Improve,ranzcr-clip-catheter-line-classification,14,0.7142857142857143
test,Improve,spooky-author-identification,66,0.5757575757575758
test,Improve,tabular-playground-series-dec-2021,10,0.6
test,Improve,tabular-playground-series-may-2022,30,0.4
test,Improve,text-normalization-challenge-english-language,11,0.6363636363636364
test,Improve,text-normalization-challenge-russian-language,12,0.5833333333333334
test,Improve,tgs-salt-identification-challenge,9,0.7777777777777778
test,Improve,us-patent-phrase-to-phrase-matching,29,0.7586206896551724
test,Improve,ventilator-pressure-prediction,20,0.55
test,Improve,whale-categorization-playground,24,0.6666666666666666
