role,task,run_id,parent,source_children,finite_children,published_unique_edges,status_target_children,status_certified_invalid_children,unknown_status_children,unregistered_missing_slots,validity_dominance_edges,certified_relations,unresolved_relations,source_pair_capacity,published_coverage,certified_coverage,coverage_gain,lost_relation_recovery
extension,dogs-vs-cats-redux-kernels-edition,cards_senior_0811.jsonl:2,dogs-vs-cats-redux-kernels-edition__43ec0ce9d5ec40d69c4670fd71d2b68a,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,dogs-vs-cats-redux-kernels-edition,cards_senior_0811.jsonl:2,dogs-vs-cats-redux-kernels-edition__9c7b085d6f264b938f080beddafc1d90,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,dogs-vs-cats-redux-kernels-edition,cards_senior_0811.jsonl:2,dogs-vs-cats-redux-kernels-edition__de7e30042428415daf9b257ebcdcef5a,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,dogs-vs-cats-redux-kernels-edition,cards_senior_0811.jsonl:2,dogs-vs-cats-redux-kernels-edition__f5ee6847013f4c0b91e481b1421e2d01,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,histopathologic-cancer-detection,cards_senior_0811.jsonl:13,histopathologic-cancer-detection__15c727239350441b8cf67ef816c510a8,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,histopathologic-cancer-detection,cards_senior_0811.jsonl:13,histopathologic-cancer-detection__1ab7e66c4eca460eb4263896f3af4e29,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,histopathologic-cancer-detection,cards_senior_0811.jsonl:13,histopathologic-cancer-detection__38ef99187f3a4413a328f81ec7248e43,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,histopathologic-cancer-detection,cards_senior_0811.jsonl:13,histopathologic-cancer-detection__8afde70436e84cc0a9de3a89f9b1927a,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,histopathologic-cancer-detection,cards_senior_0811.jsonl:13,histopathologic-cancer-detection__dd3a0776e15440e58db8cdcc0a2e86cc,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__0f5c90cdeffb4bf386577a52a99d6aac,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__1460df7f6ee84430909943f239ad4d2a,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__233014a1e95e4eaaae890f51630555ee,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
extension,leaf-classification,cards_senior_0810.jsonl:33,leaf-classification__32e41bb380e0441d8c50df3566b2b8f0,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
extension,leaf-classification,cards_senior_0810.jsonl:33,leaf-classification__3bc738321cea4167959592590ecfe5c5,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__4d9247af417c43c7b7c18b9a225aadc2,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
extension,leaf-classification,cards_senior_0810.jsonl:33,leaf-classification__704af2794e934b64b8f0a6b237a7ef1f,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
extension,leaf-classification,cards_senior_0810.jsonl:33,leaf-classification__8c886e3353974e7da59b9073c4472915,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
extension,leaf-classification,cards_senior_0810.jsonl:33,leaf-classification__96cc8971eead4bcb8d88d97ba8e8a247,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__afcb65c293f445ed89713b9f5ff79270,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__b5d0f41855034bbba4dbce689a228401,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__c19d31586ca94e97be282181da3b229c,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__c3c76c75b7a64038851c46ee7667c9cd,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__cae6b630133043e19040668447047bda,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
extension,leaf-classification,cards_senior_0810.jsonl:33,leaf-classification__ce947918fa2247dfb69a1e186cb22176,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__cf10cdd7f10a4be680a87d85c3e1f679,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__cf1e7f9c77b04ca48577fc8df5b24cc4,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__d9935099a14b4df6bfe2e9db4c004a90,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
extension,leaf-classification,cards_senior_0810.jsonl:35,leaf-classification__e796ab5ed1d44603a2dfb7629bf3a9f9,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
extension,leaf-classification,cards_senior_0810.jsonl:33,leaf-classification__e8f0077f23e64729a8464d7a36c16891,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
extension,learning-agency-lab-automated-essay-scoring-2,cards_senior_0810.jsonl:14,learning-agency-lab-automated-essay-scoring-2__12073ba76d06442a80935cb96431305e,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,learning-agency-lab-automated-essay-scoring-2,cards_senior_0810.jsonl:15,learning-agency-lab-automated-essay-scoring-2__72726deb437d41a2a3d25b54e192b5cc,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,learning-agency-lab-automated-essay-scoring-2,cards_senior_0810.jsonl:14,learning-agency-lab-automated-essay-scoring-2__c192c07a82094cfc8f37f48ac58f5944,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__07dd321814b0405caf62fcfe7c16b05b,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__0a798669f591449f8998753ace8bc24e,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__0b501426cf404fbc84f85d21bae2c355,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0810.jsonl:25,random-acts-of-pizza__0ee21bb6847e425e8585f7b4b9a779bb,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__11b89f55baff44ed9fe567ce41f7e0ec,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__1949ce21a4fe4862bed6b020d39f3cf6,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__1f19e1b172964b4d9e36f0f031c952ec,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__2325c3a2259342f5b0bd3c72e5131b9d,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__250cc7e1cf8945898f5edac91e32ceee,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__26324878815a4ac7ab2f4fd130bd64e2,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__304e80c8ff8e4e24a84b85464794899e,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__376924c4dee3411d9cd4583cb26afe01,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__3b8342e0c1c740f393ef3094990152fc,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__3deb2edb1f664d118a8eeb7edf839fb3,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__3e0d8b27de0843eaa6bced585b75ef18,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__3f8215bb11d44b84a36dce32f33ba89e,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__41991600638b492f853ea3cbebcacf72,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__4975636731524a3b901e9c6b2e62d4c3,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__4b966be9afe54af7b71d4daba1f9c31f,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__51e25c727220425bac766ca09317c077,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__5b6269f90b8649aaa32d72c28a79a63e,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__5cbb6773ace24a32ab8db5f812fa2ff2,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__5e570669bf414316bb8e85b844c31fa1,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__66af2585043140598cd2af5c32f0e0b9,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0810.jsonl:25,random-acts-of-pizza__69b44b72b8c1428f92f3b9377489d9bc,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__6b9af04acbf84e3f90951131cf492b17,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__70a235c22f1f4cc9981884527cc315e9,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__71f9eb80d93445ea97f1d8e6fedcfd6a,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__733dad47be024614a94a4c9c9c540e35,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__7be84bd4270f4b928b12da0d53f45d36,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__7c183fc8c9fd45d181da624cc01b3973,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__7ef6f4478d774080af6962d5f0944543,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__8bd241e7bf5f46c3b2c8c7695650d197,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__8fc8fbd7f7924793b29ef5063af9148c,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__9a9d1ce7266a407ba2c4ceaabe739261,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__9cd1433260fc42e8b0e167321f8b4cf8,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__9e614862db0c4011959af8a23450b754,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__9fae52ef768244839482d7ad9ab8eb92,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__a9901939e3ac47b3807d5c505ce466c3,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__af8c2b7d70fd460e91dcb4bb63343c85,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__b0e2c994e6c040bc81c5f6ffb324e967,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__c16fa73a54184a0bb0f8cab2b39e212c,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__c58ad95288ac4eb08e5f2735a6a1d595,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__c7e552b48c1b40adb2ae5349ce9a3df0,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__d16befea6343474890cc22c573dd2b0e,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__d27da3e3c5e6489ea0d54c679333a516,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__d652ab13551844e0bb1bcb0fc2dec6bc,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__dc9e699f00914e0ab02ac09fb285afe6,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__e1f6b128dfb24054b24f8aeda2dddced,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__ea74bd9e3c074b829854afca33c72328,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__f162a0a7ab894d68b4e95c686fcc2009,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__f4c016ea7859486c902930c3efb1104d,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__f7125b96f3e04494953370410349362e,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__fb2885c4f7c34e3e8adbae250f5e1ea9,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__fb652f86b4bf44d5be76867a9db88034,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__fb896fac25214210b5e0389f8372a827,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:26,random-acts-of-pizza__fc4afb1d08b443b3a0e08b68322471aa,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,random-acts-of-pizza,cards_senior_0811.jsonl:23,random-acts-of-pizza__feb4a42ce941424e8dffb8c1f152a15e,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,tabular-playground-series-may-2022,cards_senior_0810.jsonl:18,tabular-playground-series-may-2022__2a5947ab88d84a3084d3dd186a367f46,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,tabular-playground-series-may-2022,cards_senior_0810.jsonl:18,tabular-playground-series-may-2022__328127fea71045cbb36ba34dc982183c,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,tabular-playground-series-may-2022,cards_senior_0810.jsonl:18,tabular-playground-series-may-2022__93241bde8c704a348e48e22ab39bbfd5,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,text-normalization-challenge-russian-language,cards_senior_0810.jsonl:27,text-normalization-challenge-russian-language__18f2c1c3b36a460084b611b56b72d679,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,text-normalization-challenge-russian-language,cards_senior_0810.jsonl:30,text-normalization-challenge-russian-language__437f6dee0cce4002938cacf9bcdbb419,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,text-normalization-challenge-russian-language,cards_senior_0810.jsonl:30,text-normalization-challenge-russian-language__88aeea3c1fb44a598dd46e5dd3349722,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,text-normalization-challenge-russian-language,cards_senior_0810.jsonl:27,text-normalization-challenge-russian-language__a830f4a9ac7a4cae9343cc7017014a0a,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,text-normalization-challenge-russian-language,cards_senior_0810.jsonl:27,text-normalization-challenge-russian-language__ae891c02ce6048cea2d584314ba08605,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,text-normalization-challenge-russian-language,cards_senior_0810.jsonl:27,text-normalization-challenge-russian-language__efac5accc60643588f6f16b4a2afbeeb,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,us-patent-phrase-to-phrase-matching,cards_senior_0810.jsonl:4,us-patent-phrase-to-phrase-matching__c2bfd57bec894fd2b0fd923d0085be2a,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,whale-categorization-playground,cards_senior_0811.jsonl:36,whale-categorization-playground__b1709ae3700743eb9872b2b99c6c67c7,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,whale-categorization-playground,cards_senior_0811.jsonl:36,whale-categorization-playground__c44c5022c0224e88a352c2a987d3adf8,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__044427099a514d8aa845913a420376e5,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__108e578cb82f4500bd72b4560595279a,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__1d51bf57f34c451ea98e5a156f12e815,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__2ff7e0c613b2426c9c73a3b16640b631,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__3cb96f0046cd43fa86cdae619aea6a7d,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__3f95f2ef59484355870391b85f1e7af3,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__41c89580d5314eb8a1db64f91a3371c5,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__5ced81221eca4a61a060580ba78f939c,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__61dd2301b4cc42b4a72af46fe8834343,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__6f22c02fcd8e4e069d858159305c10e3,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__7fbdf1604295407cbfc0139f0a0ba2c3,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__83f80329974f4954b54d019d889b6bd0,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__94599c815bff43e887e0467dbf1ccc1d,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__98ab5a96c99440a599f381eef5bc96e6,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__a1ec45ee93e745f18fad089482851709,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__a2269a608c5048d3a47731a84eed7985,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__a7c24b4b456240b7bca440971a010685,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__c28bd5270c0c462d92e15ea6b4ca7422,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,aptos2019-blindness-detection,cards_senior_0808.jsonl:15,aptos2019-blindness-detection__d7d9e6aaecb54e429f152f94173f3cc1,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
frozen,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
frozen,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering__18f3e97d651041f98c46c5b9e00d3910,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
frozen,chaii-hindi-and-tamil-question-answering,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,5,2,1,3,3,0,0,6,7,3,10,0.10000000000000001,0.69999999999999996,0.59999999999999998,0.66666666666666663
frozen,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering__3820269dfbf5473f892b1bdce9893fe5,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
frozen,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
frozen,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering__40fcb7b2606a44bb9e94a037297a64cc,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
frozen,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering__423774455699417db23af7d08ef5e3fa,3,2,1,1,1,0,0,2,3,0,3,0.33333333333333331,1,0.66666666666666663,1
frozen,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering__45625d0619914dceacddf1853c1aad97,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
frozen,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering__4ca4af763b1248ba823e5963c0d616ed,3,3,3,0,0,0,0,0,3,0,3,1,1,0,
