task,model_family,release_run,model_token,temperature_token,timestamp,source_path,pairs,exact_ties,nonfinite_score_pairs,valid_nontie_predictions,valid_coverage,accuracy,pick_index0_rate,mean_confidence,ece10
denoising-dirty-documents,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/denoising-dirty-documents/report/alignment_denoising-dirty-documents_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,974,0,0,974,1.0,0.5472279260780287,0.4722792607802875,0.7489014373716614,0.20167351129363112
denoising-dirty-documents,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/denoising-dirty-documents/report/alignment_denoising-dirty-documents_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,974,0,0,973,0.9989733059548255,0.5420944558521561,0.46557040082219936,0.7483967112024646,0.20656731757450808
detecting-insults-in-social-commentary,deepseek,1,deepseek-reasoner,0p0,20251205_214840,solutions_subset_50/detecting-insults-in-social-commentary/report/alignment_detecting-insults-in-social-commentary_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json,350,0,0,340,0.9714285714285714,0.74,0.49411764705882355,0.5671176470588224,0.1958235294117651
detecting-insults-in-social-commentary,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/detecting-insults-in-social-commentary/report/alignment_detecting-insults-in-social-commentary_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,350,0,0,337,0.9628571428571429,0.7428571428571429,0.5074183976261127,0.5717507418397614,0.1733531157270035
detecting-insults-in-social-commentary,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/detecting-insults-in-social-commentary/report/alignment_detecting-insults-in-social-commentary_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,350,0,0,344,0.9828571428571429,0.7371428571428571,0.4883720930232558,0.5541569767441851,0.1856686046511632
detecting-insults-in-social-commentary,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/detecting-insults-in-social-commentary/report/alignment_detecting-insults-in-social-commentary_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,350,0,0,350,1.0,0.6314285714285715,0.4857142857142857,0.6978857142857133,0.06845714285714366
detecting-insults-in-social-commentary,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/detecting-insults-in-social-commentary/report/alignment_detecting-insults-in-social-commentary_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,350,0,0,350,1.0,0.5942857142857143,0.36857142857142855,0.6915999999999991,0.0988000000000009
detecting-insults-in-social-commentary,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/detecting-insults-in-social-commentary/report/alignment_detecting-insults-in-social-commentary_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,350,0,0,350,1.0,0.6,0.36857142857142855,0.6936571428571421,0.09451428571428652
dog-breed-identification,deepseek,1,deepseek-reasoner,0p0,20251205_214840,solutions_subset_50/dog-breed-identification/report/alignment_dog-breed-identification_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json,3,0,0,3,1.0,0.6666666666666666,0.3333333333333333,0.75,0.1833333333333333
dog-breed-identification,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/dog-breed-identification/report/alignment_dog-breed-identification_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,3,0,0,3,1.0,0.6666666666666666,0.3333333333333333,0.7733333333333333,0.3066666666666667
dog-breed-identification,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/dog-breed-identification/report/alignment_dog-breed-identification_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,3,0,0,2,0.6666666666666666,1.0,0.5,0.75,0.25
dog-breed-identification,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/dog-breed-identification/report/alignment_dog-breed-identification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,3,0,0,3,1.0,0.6666666666666666,0.3333333333333333,0.7666666666666666,0.09999999999999998
dog-breed-identification,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/dog-breed-identification/report/alignment_dog-breed-identification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,3,0,0,3,1.0,0.6666666666666666,0.3333333333333333,0.77,0.43
dog-breed-identification,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/dog-breed-identification/report/alignment_dog-breed-identification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,3,0,0,3,1.0,0.6666666666666666,0.3333333333333333,0.7466666666666667,0.08000000000000007
google-quest-challenge,deepseek,1,deepseek-reasoner,0p0,20251205_214840,solutions_subset_50/google-quest-challenge/report/alignment_google-quest-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json,1224,0,49,1081,0.92,0.6374468085106383,0.43293246993524515,0.6875670675300688,0.04999074930619528
google-quest-challenge,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/google-quest-challenge/report/alignment_google-quest-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,1224,0,49,1074,0.9140425531914894,0.6502127659574468,0.46461824953445063,0.6891061452513999,0.039199255121040055
google-quest-challenge,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/google-quest-challenge/report/alignment_google-quest-challenge_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,1224,0,49,1101,0.9370212765957446,0.6612765957446809,0.43869209809264303,0.6877838328792041,0.03256130790191012
google-quest-challenge,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/google-quest-challenge/report/alignment_google-quest-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,1224,0,49,1175,1.0,0.6655319148936171,0.3625531914893617,0.7401446808510633,0.08477446808510572
google-quest-challenge,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/google-quest-challenge/report/alignment_google-quest-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,1224,0,49,1175,1.0,0.676595744680851,0.35829787234042554,0.7402042553191499,0.07576170212765926
google-quest-challenge,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/google-quest-challenge/report/alignment_google-quest-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,1224,0,49,1175,1.0,0.6621276595744681,0.3727659574468085,0.7415063829787223,0.0803999999999986
jigsaw-toxic-comment-classification-challenge,deepseek,1,deepseek-reasoner,0p0,20251205_214840,solutions_subset_50/jigsaw-toxic-comment-classification-challenge/report/alignment_jigsaw-toxic-comment-classification-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json,10,0,0,8,0.8,0.3,0.75,0.65625,0.28125
jigsaw-toxic-comment-classification-challenge,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/jigsaw-toxic-comment-classification-challenge/report/alignment_jigsaw-toxic-comment-classification-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,10,0,0,8,0.8,0.2,0.625,0.6750000000000002,0.42499999999999993
jigsaw-toxic-comment-classification-challenge,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/jigsaw-toxic-comment-classification-challenge/report/alignment_jigsaw-toxic-comment-classification-challenge_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,10,0,0,9,0.9,0.2,0.7777777777777778,0.6777777777777777,0.4555555555555556
jigsaw-toxic-comment-classification-challenge,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/jigsaw-toxic-comment-classification-challenge/report/alignment_jigsaw-toxic-comment-classification-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,10,0,0,10,1.0,0.1,0.6,0.693,0.5930000000000001
jigsaw-toxic-comment-classification-challenge,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/jigsaw-toxic-comment-classification-challenge/report/alignment_jigsaw-toxic-comment-classification-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,10,0,0,10,1.0,0.2,0.7,0.7059999999999998,0.5059999999999999
jigsaw-toxic-comment-classification-challenge,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/jigsaw-toxic-comment-classification-challenge/report/alignment_jigsaw-toxic-comment-classification-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,10,0,0,10,1.0,0.2,0.7,0.7099999999999999,0.51
leaf-classification,deepseek,1,deepseek-reasoner,0p0,20251205_214840,solutions_subset_50/leaf-classification/report/alignment_leaf-classification_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json,136,0,0,122,0.8970588235294118,0.7426470588235294,0.5901639344262295,0.7061475409836069,0.056147540983606116
leaf-classification,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/leaf-classification/report/alignment_leaf-classification_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,136,0,0,124,0.9117647058823529,0.75,0.6129032258064516,0.7048387096774197,0.0612903225806447
leaf-classification,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/leaf-classification/report/alignment_leaf-classification_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,136,0,0,129,0.9485294117647058,0.75,0.5891472868217055,0.6961240310077524,0.05968992248061973
leaf-classification,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/leaf-classification/report/alignment_leaf-classification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,136,0,0,136,1.0,0.7279411764705882,0.49264705882352944,0.7341176470588243,0.04014705882352999
leaf-classification,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/leaf-classification/report/alignment_leaf-classification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,136,0,0,136,1.0,0.6985294117647058,0.5073529411764706,0.7339705882352948,0.05852941176470608
leaf-classification,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/leaf-classification/report/alignment_leaf-classification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,136,0,0,136,1.0,0.7426470588235294,0.47794117647058826,0.7301470588235306,0.02161764705882425
learning-agency-lab-automated-essay-scoring-2,deepseek,1,deepseek-reasoner,0p0,20251205_214840,solutions_subset_50/learning-agency-lab-automated-essay-scoring-2/report/alignment_learning-agency-lab-automated-essay-scoring-2_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json,190,0,0,178,0.9368421052631579,0.7315789473684211,0.4943820224719101,0.6800561797752815,0.08679775280898844
learning-agency-lab-automated-essay-scoring-2,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/learning-agency-lab-automated-essay-scoring-2/report/alignment_learning-agency-lab-automated-essay-scoring-2_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,190,0,0,176,0.9263157894736842,0.6789473684210526,0.3806818181818182,0.6838068181818189,0.07244318181818139
learning-agency-lab-automated-essay-scoring-2,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/learning-agency-lab-automated-essay-scoring-2/report/alignment_learning-agency-lab-automated-essay-scoring-2_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,190,0,0,179,0.9421052631578948,0.6631578947368421,0.4692737430167598,0.6787709497206713,0.05083798882681524
learning-agency-lab-automated-essay-scoring-2,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/learning-agency-lab-automated-essay-scoring-2/report/alignment_learning-agency-lab-automated-essay-scoring-2_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,189,0,0,189,1.0,0.7566137566137566,0.3333333333333333,0.7262962962962971,0.07920634920634882
learning-agency-lab-automated-essay-scoring-2,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/learning-agency-lab-automated-essay-scoring-2/report/alignment_learning-agency-lab-automated-essay-scoring-2_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,190,0,0,190,1.0,0.7421052631578947,0.3263157894736842,0.7274736842105266,0.09452631578947317
learning-agency-lab-automated-essay-scoring-2,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/learning-agency-lab-automated-essay-scoring-2/report/alignment_learning-agency-lab-automated-essay-scoring-2_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,190,0,0,190,1.0,0.7368421052631579,0.32105263157894737,0.7264210526315796,0.14747368421052592
lmsys-chatbot-arena,deepseek,1,deepseek-reasoner,0p0,20251205_214840,solutions_subset_50/lmsys-chatbot-arena/report/alignment_lmsys-chatbot-arena_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json,1220,0,0,1127,0.9237704918032786,0.6827868852459016,0.45785270629991126,0.6866548358473867,0.04866015971606471
lmsys-chatbot-arena,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/lmsys-chatbot-arena/report/alignment_lmsys-chatbot-arena_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,1220,0,0,1086,0.8901639344262295,0.6877049180327869,0.46685082872928174,0.6874401473296544,0.02692449355432387
lmsys-chatbot-arena,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/lmsys-chatbot-arena/report/alignment_lmsys-chatbot-arena_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,1220,0,0,1085,0.889344262295082,0.6795081967213115,0.45069124423963136,0.6875299539170544,0.03818433179723902
lmsys-chatbot-arena,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/lmsys-chatbot-arena/report/alignment_lmsys-chatbot-arena_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,1218,0,0,1218,1.0,0.5533661740558292,0.3817733990147783,0.742208538587847,0.19015599343185363
lmsys-chatbot-arena,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/lmsys-chatbot-arena/report/alignment_lmsys-chatbot-arena_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,1220,0,0,1220,1.0,0.5663934426229508,0.3844262295081967,0.7424508196721298,0.17810655737704703
lmsys-chatbot-arena,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/lmsys-chatbot-arena/report/alignment_lmsys-chatbot-arena_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,1220,0,0,1220,1.0,0.5540983606557377,0.3737704918032787,0.7416229508196709,0.18865573770491686
mlsp-2013-birds,deepseek,1,deepseek-reasoner,0p0,20251205_214840,solutions_subset_50/mlsp-2013-birds/report/alignment_mlsp-2013-birds_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json,1221,0,0,997,0.8165438165438166,0.5921375921375921,0.4684052156469408,0.6826579739217679,0.0878736208625841
mlsp-2013-birds,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/mlsp-2013-birds/report/alignment_mlsp-2013-birds_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,1221,0,0,1089,0.8918918918918919,0.5872235872235873,0.46648301193755737,0.6837924701561112,0.0995867768595006
mlsp-2013-birds,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/mlsp-2013-birds/report/alignment_mlsp-2013-birds_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,1221,0,0,1088,0.8910728910728911,0.5651105651105651,0.453125,0.6832352941176517,0.1266176470588198
mlsp-2013-birds,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/mlsp-2013-birds/report/alignment_mlsp-2013-birds_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,1221,0,0,1221,1.0,0.542997542997543,0.3857493857493858,0.7319737919737924,0.19123669123669154
mlsp-2013-birds,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/mlsp-2013-birds/report/alignment_mlsp-2013-birds_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,1221,0,0,1221,1.0,0.5487305487305487,0.36363636363636365,0.737690417690418,0.18941850941850918
mlsp-2013-birds,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/mlsp-2013-birds/report/alignment_mlsp-2013-birds_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,1221,0,0,1221,1.0,0.5528255528255528,0.3824733824733825,0.7388943488943481,0.18662571662571562
new-york-city-taxi-fare-prediction,deepseek,1,deepseek-reasoner,0p0,20251206_132626,solutions_subset_50/new-york-city-taxi-fare-prediction/report/alignment_new-york-city-taxi-fare-prediction_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251206_132626.json,429,0,0,363,0.8461538461538461,0.48484848484848486,0.512396694214876,0.7042699724517896,0.22493112947658483
new-york-city-taxi-fare-prediction,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/new-york-city-taxi-fare-prediction/report/alignment_new-york-city-taxi-fare-prediction_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,429,0,0,371,0.8648018648018648,0.4731934731934732,0.49865229110512127,0.6985175202156312,0.2160377358490575
new-york-city-taxi-fare-prediction,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/new-york-city-taxi-fare-prediction/report/alignment_new-york-city-taxi-fare-prediction_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,429,0,0,363,0.8461538461538461,0.45454545454545453,0.5068870523415978,0.704435261707987,0.27192837465564806
new-york-city-taxi-fare-prediction,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/new-york-city-taxi-fare-prediction/report/alignment_new-york-city-taxi-fare-prediction_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,429,0,0,429,1.0,0.5221445221445221,0.3962703962703963,0.7346620046620042,0.21251748251748162
new-york-city-taxi-fare-prediction,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/new-york-city-taxi-fare-prediction/report/alignment_new-york-city-taxi-fare-prediction_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,429,0,0,429,1.0,0.5128205128205128,0.38694638694638694,0.7310722610722603,0.21825174825174753
new-york-city-taxi-fare-prediction,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/new-york-city-taxi-fare-prediction/report/alignment_new-york-city-taxi-fare-prediction_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,429,0,0,429,1.0,0.5268065268065268,0.40093240093240096,0.735757575757575,0.20895104895104807
nomad2018-predict-transparent-conductors,deepseek,1,deepseek-reasoner,0p0,20251206_132626,solutions_subset_50/nomad2018-predict-transparent-conductors/report/alignment_nomad2018-predict-transparent-conductors_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251206_132626.json,3,0,0,3,1.0,1.0,0.6666666666666666,0.6999999999999998,0.3
nomad2018-predict-transparent-conductors,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/nomad2018-predict-transparent-conductors/report/alignment_nomad2018-predict-transparent-conductors_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,3,0,0,2,0.6666666666666666,1.0,0.5,0.675,0.325
nomad2018-predict-transparent-conductors,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/nomad2018-predict-transparent-conductors/report/alignment_nomad2018-predict-transparent-conductors_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,3,0,0,2,0.6666666666666666,1.0,0.5,0.7,0.30000000000000004
nomad2018-predict-transparent-conductors,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/nomad2018-predict-transparent-conductors/report/alignment_nomad2018-predict-transparent-conductors_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,3,0,0,3,1.0,1.0,0.6666666666666666,0.7133333333333333,0.2866666666666666
nomad2018-predict-transparent-conductors,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/nomad2018-predict-transparent-conductors/report/alignment_nomad2018-predict-transparent-conductors_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,3,0,0,3,1.0,1.0,0.6666666666666666,0.71,0.29
nomad2018-predict-transparent-conductors,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/nomad2018-predict-transparent-conductors/report/alignment_nomad2018-predict-transparent-conductors_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,3,0,0,3,1.0,1.0,0.6666666666666666,0.6999999999999998,0.3
petfinder-pawpularity-score,deepseek,1,deepseek-reasoner,0p0,20251206_132626,solutions_subset_50/petfinder-pawpularity-score/report/alignment_petfinder-pawpularity-score_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251206_132626.json,239,0,0,229,0.9581589958158996,0.4309623430962343,0.4672489082969432,0.6543231441048024,0.22637554585152883
petfinder-pawpularity-score,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/petfinder-pawpularity-score/report/alignment_petfinder-pawpularity-score_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,239,0,0,218,0.9121338912133892,0.4435146443514644,0.46788990825688076,0.6606422018348612,0.23403669724770687
petfinder-pawpularity-score,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/petfinder-pawpularity-score/report/alignment_petfinder-pawpularity-score_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,239,0,0,217,0.9079497907949791,0.4435146443514644,0.4470046082949309,0.6467741935483865,0.1951612903225808
petfinder-pawpularity-score,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/petfinder-pawpularity-score/report/alignment_petfinder-pawpularity-score_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,238,0,0,238,1.0,0.4789915966386555,0.4411764705882353,0.7160084033613451,0.24457983193277333
petfinder-pawpularity-score,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/petfinder-pawpularity-score/report/alignment_petfinder-pawpularity-score_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,239,0,0,239,1.0,0.46443514644351463,0.4100418410041841,0.7057322175732221,0.2462343096234311
petfinder-pawpularity-score,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/petfinder-pawpularity-score/report/alignment_petfinder-pawpularity-score_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,239,0,0,239,1.0,0.4560669456066946,0.4100418410041841,0.703723849372385,0.24765690376569074
plant-pathology-2020-fgvc7,deepseek,1,deepseek-reasoner,0p0,20251206_132626,solutions_subset_50/plant-pathology-2020-fgvc7/report/alignment_plant-pathology-2020-fgvc7_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251206_132626.json,15,0,0,14,0.9333333333333333,0.6666666666666666,0.7857142857142857,0.7178571428571429,0.26785714285714285
plant-pathology-2020-fgvc7,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/plant-pathology-2020-fgvc7/report/alignment_plant-pathology-2020-fgvc7_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,15,0,0,13,0.8666666666666667,0.4666666666666667,0.6923076923076923,0.7038461538461539,0.25769230769230766
plant-pathology-2020-fgvc7,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/plant-pathology-2020-fgvc7/report/alignment_plant-pathology-2020-fgvc7_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,15,0,0,12,0.8,0.6666666666666666,0.6666666666666666,0.7124999999999999,0.1958333333333334
plant-pathology-2020-fgvc7,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/plant-pathology-2020-fgvc7/report/alignment_plant-pathology-2020-fgvc7_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,15,0,0,15,1.0,0.5333333333333333,0.4666666666666667,0.7306666666666667,0.2346666666666667
