fold,task,arm,nodes,base_edges,augmentation_rows,unique_edges,components,largest_component_nodes,largest_component_share,normalized_algebraic_connectivity,augmentation_gap_bins
0,kuzushiji-recognition,sibling_reweight_control,14,7,6,7,7,2,0.14285714285714285,0.0,"{""5"": 2, ""6"": 1, ""7"": 2, ""8"": 1}"
0,leaf-classification,sibling_reweight_control,243,218,218,218,92,5,0.0205761316872428,0.0,"{""2"": 3, ""3"": 6, ""4"": 19, ""5"": 20, ""6"": 52, ""7"": 37, ""8"": 81}"
0,learning-agency-lab-automated-essay-scoring-2,sibling_reweight_control,53,40,40,40,22,3,0.05660377358490566,0.0,"{""0"": 2, ""2"": 1, ""3"": 6, ""4"": 10, ""5"": 16, ""6"": 4, ""8"": 1}"
0,mlsp-2013-birds,sibling_reweight_control,222,238,238,238,79,5,0.02252252252252252,0.0,"{""2"": 2, ""3"": 8, ""4"": 41, ""5"": 68, ""6"": 67, ""7"": 37, ""8"": 15}"
0,nomad2018-predict-transparent-conductors,sibling_reweight_control,102,123,123,123,33,5,0.049019607843137254,0.0,"{""0"": 4, ""1"": 15, ""2"": 34, ""3"": 32, ""4"": 19, ""5"": 4, ""6"": 7, ""7"": 8}"
0,petfinder-pawpularity-score,sibling_reweight_control,513,432,432,432,199,5,0.009746588693957114,0.0,"{""2"": 2, ""3"": 15, ""4"": 26, ""5"": 55, ""6"": 135, ""7"": 104, ""8"": 95}"
0,random-acts-of-pizza,sibling_reweight_control,470,385,385,385,187,5,0.010638297872340425,0.0,"{""0"": 4, ""1"": 7, ""2"": 19, ""3"": 64, ""4"": 145, ""5"": 84, ""6"": 42, ""7"": 20}"
0,spaceship-titanic,sibling_reweight_control,60,78,78,78,19,11,0.18333333333333332,0.0,"{""3"": 9, ""4"": 31, ""5"": 24, ""6"": 11, ""7"": 3}"
0,spooky-author-identification,sibling_reweight_control,647,518,518,518,255,4,0.0061823802163833074,0.0,"{""0"": 7, ""1"": 15, ""2"": 48, ""3"": 64, ""4"": 105, ""5"": 134, ""6"": 111, ""7"": 27, ""8"": 7}"
0,tabular-playground-series-dec-2021,sibling_reweight_control,48,27,27,27,23,3,0.0625,0.0,"{""0"": 5, ""1"": 4, ""2"": 6, ""3"": 1, ""4"": 3, ""5"": 1, ""7"": 2, ""8"": 5}"
0,tabular-playground-series-may-2022,sibling_reweight_control,141,115,115,115,59,5,0.03546099290780142,0.0,"{""0"": 3, ""1"": 4, ""2"": 13, ""3"": 15, ""4"": 29, ""5"": 16, ""6"": 8, ""7"": 21, ""8"": 6}"
0,text-normalization-challenge-russian-language,sibling_reweight_control,180,90,90,90,90,2,0.011111111111111112,0.0,"{""0"": 19, ""1"": 12, ""2"": 25, ""3"": 19, ""4"": 5, ""6"": 7, ""7"": 3}"
0,tweet-sentiment-extraction,sibling_reweight_control,80,40,33,40,40,2,0.025,0.0,"{""0"": 1, ""1"": 2, ""2"": 4, ""3"": 12, ""4"": 7, ""5"": 1, ""6"": 2, ""7"": 3, ""8"": 1}"
0,us-patent-phrase-to-phrase-matching,sibling_reweight_control,662,331,316,331,331,2,0.0030211480362537764,0.0,"{""0"": 15, ""1"": 21, ""2"": 32, ""3"": 56, ""4"": 66, ""5"": 78, ""6"": 38, ""7"": 6, ""8"": 4}"
0,whale-categorization-playground,sibling_reweight_control,85,44,44,44,42,3,0.03529411764705882,0.0,"{""1"": 1, ""2"": 1, ""3"": 5, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 14, ""8"": 1}"
0,aptos2019-blindness-detection,uniform_crossrun_control,68,34,34,68,7,54,0.7941176470588235,0.0,"{""3"": 2, ""4"": 2, ""5"": 14, ""6"": 16}"
0,chaii-hindi-and-tamil-question-answering,uniform_crossrun_control,340,368,368,736,1,340,1.0,0.09282066066651207,"{""2"": 1, ""3"": 1, ""4"": 13, ""5"": 12, ""6"": 66, ""7"": 83, ""8"": 192}"
0,denoising-dirty-documents,uniform_crossrun_control,198,187,187,374,2,196,0.98989898989899,0.0,"{""1"": 2, ""2"": 9, ""3"": 26, ""4"": 51, ""5"": 37, ""6"": 38, ""7"": 24}"
0,dog-breed-identification,uniform_crossrun_control,62,47,46,93,2,60,0.967741935483871,0.0,"{""4"": 1, ""5"": 2, ""6"": 8, ""7"": 17, ""8"": 18}"
0,dogs-vs-cats-redux-kernels-edition,uniform_crossrun_control,18,9,9,18,1,18,1.0,0.028534211553699243,"{""2"": 1, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 3}"
0,google-quest-challenge,uniform_crossrun_control,76,38,38,76,8,58,0.7631578947368421,0.0,"{""3"": 1, ""4"": 3, ""5"": 9, ""6"": 16, ""7"": 8, ""8"": 1}"
0,histopathologic-cancer-detection,uniform_crossrun_control,82,41,41,82,8,68,0.8292682926829268,0.0,"{""1"": 5, ""2"": 4, ""3"": 7, ""4"": 12, ""5"": 7, ""6"": 3, ""8"": 3}"
0,kuzushiji-recognition,uniform_crossrun_control,14,7,6,13,3,10,0.7142857142857143,0.0,"{""2"": 1, ""7"": 1, ""8"": 4}"
0,leaf-classification,uniform_crossrun_control,243,218,218,436,3,239,0.9835390946502057,0.0,"{""3"": 3, ""4"": 3, ""5"": 11, ""6"": 25, ""7"": 40, ""8"": 136}"
0,learning-agency-lab-automated-essay-scoring-2,uniform_crossrun_control,53,40,40,80,1,53,1.0,0.015911683882492984,"{""3"": 4, ""4"": 8, ""5"": 13, ""6"": 12, ""8"": 3}"
0,mlsp-2013-birds,uniform_crossrun_control,222,238,238,476,1,222,1.0,0.09715544461489994,"{""3"": 6, ""4"": 19, ""5"": 55, ""6"": 77, ""7"": 74, ""8"": 7}"
0,nomad2018-predict-transparent-conductors,uniform_crossrun_control,102,123,123,246,1,102,1.0,0.09664730519849607,"{""0"": 2, ""1"": 2, ""2"": 10, ""3"": 25, ""4"": 45, ""5"": 19, ""6"": 5, ""7"": 15}"
0,petfinder-pawpularity-score,uniform_crossrun_control,513,432,432,864,7,498,0.9707602339181286,0.0,"{""2"": 1, ""3"": 1, ""4"": 2, ""5"": 9, ""6"": 27, ""7"": 38, ""8"": 354}"
0,random-acts-of-pizza,uniform_crossrun_control,470,385,385,770,7,458,0.9744680851063829,0.0,"{""1"": 2, ""2"": 5, ""3"": 13, ""4"": 38, ""5"": 78, ""6"": 188, ""7"": 61}"
0,spaceship-titanic,uniform_crossrun_control,60,78,78,156,1,60,1.0,0.19217613003586098,"{""3"": 14, ""4"": 24, ""5"": 20, ""6"": 17, ""7"": 3}"
0,spooky-author-identification,uniform_crossrun_control,647,518,518,1036,11,625,0.9659969088098919,0.0,"{""1"": 2, ""2"": 2, ""3"": 9, ""4"": 45, ""5"": 113, ""6"": 212, ""7"": 119, ""8"": 16}"
0,tabular-playground-series-dec-2021,uniform_crossrun_control,48,27,27,54,4,42,0.875,0.0,"{""0"": 3, ""1"": 1, ""2"": 8, ""3"": 3, ""4"": 2, ""5"": 5, ""7"": 2, ""8"": 3}"
0,tabular-playground-series-may-2022,uniform_crossrun_control,141,115,115,230,2,139,0.9858156028368794,0.0,"{""1"": 1, ""2"": 1, ""3"": 4, ""4"": 17, ""5"": 15, ""6"": 37, ""7"": 36, ""8"": 4}"
0,text-normalization-challenge-russian-language,uniform_crossrun_control,180,90,90,180,15,152,0.8444444444444444,0.0,"{""0"": 4, ""1"": 4, ""2"": 18, ""3"": 22, ""4"": 26, ""5"": 1, ""6"": 7, ""7"": 8}"
0,tweet-sentiment-extraction,uniform_crossrun_control,80,40,33,73,11,38,0.475,0.0,"{""4"": 9, ""5"": 15, ""6"": 8, ""8"": 1}"
0,us-patent-phrase-to-phrase-matching,uniform_crossrun_control,662,331,316,647,58,510,0.770392749244713,0.0,"{""2"": 1, ""4"": 2, ""5"": 1, ""6"": 5, ""7"": 245, ""8"": 62}"
0,whale-categorization-playground,uniform_crossrun_control,85,44,44,88,11,59,0.6941176470588235,0.0,"{""4"": 2, ""5"": 5, ""6"": 10, ""7"": 26, ""8"": 1}"
0,aptos2019-blindness-detection,tgca,68,34,34,68,1,68,1.0,0.006089371610985688,"{""2"": 3, ""3"": 3, ""4"": 14, ""5"": 11, ""6"": 2, ""7"": 1}"
0,chaii-hindi-and-tamil-question-answering,tgca,340,368,368,736,1,340,1.0,0.02040777190211566,"{""1"": 1, ""3"": 14, ""4"": 45, ""5"": 99, ""6"": 127, ""7"": 60, ""8"": 22}"
0,denoising-dirty-documents,tgca,198,187,187,374,1,198,1.0,0.021129394364578946,"{""0"": 7, ""1"": 4, ""2"": 24, ""3"": 50, ""4"": 41, ""5"": 22, ""6"": 32, ""7"": 7}"
0,dog-breed-identification,tgca,62,47,46,93,1,62,1.0,0.020746848542519025,"{""2"": 1, ""3"": 1, ""4"": 3, ""5"": 7, ""6"": 7, ""7"": 18, ""8"": 9}"
0,dogs-vs-cats-redux-kernels-edition,tgca,18,9,9,18,1,18,1.0,0.040961362249443,"{""2"": 2, ""3"": 2, ""4"": 1, ""5"": 2, ""6"": 2}"
0,google-quest-challenge,tgca,76,38,38,76,1,76,1.0,0.008107762882881382,"{""3"": 2, ""4"": 12, ""5"": 11, ""6"": 10, ""7"": 3}"
0,histopathologic-cancer-detection,tgca,82,41,41,82,1,82,1.0,0.0037614553541021997,"{""0"": 4, ""1"": 4, ""2"": 11, ""3"": 9, ""4"": 8, ""5"": 3, ""6"": 1, ""8"": 1}"
0,kuzushiji-recognition,tgca,14,7,6,13,1,14,1.0,0.05401818340452414,"{""5"": 1, ""6"": 1, ""7"": 2, ""8"": 2}"
0,leaf-classification,tgca,243,218,218,436,1,243,1.0,0.03129192989033086,"{""2"": 3, ""3"": 6, ""4"": 19, ""5"": 20, ""6"": 52, ""7"": 37, ""8"": 81}"
0,learning-agency-lab-automated-essay-scoring-2,tgca,53,40,40,80,1,53,1.0,0.05511842505867074,"{""0"": 2, ""2"": 1, ""3"": 6, ""4"": 10, ""5"": 16, ""6"": 4, ""8"": 1}"
0,mlsp-2013-birds,tgca,222,238,238,476,1,222,1.0,0.0293532422356573,"{""2"": 2, ""3"": 8, ""4"": 41, ""5"": 68, ""6"": 67, ""7"": 37, ""8"": 15}"
0,nomad2018-predict-transparent-conductors,tgca,102,123,123,246,1,102,1.0,0.007104215032825498,"{""0"": 4, ""1"": 15, ""2"": 34, ""3"": 32, ""4"": 19, ""5"": 4, ""6"": 7, ""7"": 8}"
0,petfinder-pawpularity-score,tgca,513,432,432,864,1,513,1.0,0.014836855096342277,"{""2"": 2, ""3"": 15, ""4"": 26, ""5"": 55, ""6"": 135, ""7"": 104, ""8"": 95}"
0,random-acts-of-pizza,tgca,470,385,385,770,1,470,1.0,0.028641950599722035,"{""0"": 4, ""1"": 7, ""2"": 19, ""3"": 64, ""4"": 145, ""5"": 84, ""6"": 42, ""7"": 20}"
0,spaceship-titanic,tgca,60,78,78,156,1,60,1.0,0.014128887705060133,"{""3"": 9, ""4"": 31, ""5"": 24, ""6"": 11, ""7"": 3}"
0,spooky-author-identification,tgca,647,518,518,1036,1,647,1.0,0.03655549926314094,"{""0"": 7, ""1"": 15, ""2"": 48, ""3"": 64, ""4"": 105, ""5"": 134, ""6"": 111, ""7"": 27, ""8"": 7}"
0,tabular-playground-series-dec-2021,tgca,48,27,27,54,1,48,1.0,0.020430925644898453,"{""0"": 5, ""1"": 4, ""2"": 6, ""3"": 1, ""4"": 3, ""5"": 1, ""7"": 2, ""8"": 5}"
0,tabular-playground-series-may-2022,tgca,141,115,115,230,1,141,1.0,0.029101504650468145,"{""0"": 3, ""1"": 4, ""2"": 13, ""3"": 15, ""4"": 29, ""5"": 16, ""6"": 8, ""7"": 21, ""8"": 6}"
0,text-normalization-challenge-russian-language,tgca,180,90,90,180,1,180,1.0,0.002693065820386883,"{""0"": 19, ""1"": 12, ""2"": 25, ""3"": 19, ""4"": 5, ""6"": 7, ""7"": 3}"
0,tweet-sentiment-extraction,tgca,80,40,33,73,17,36,0.45,0.0,"{""1"": 1, ""2"": 5, ""3"": 10, ""4"": 10, ""5"": 1, ""6"": 2, ""7"": 3, ""8"": 1}"
0,us-patent-phrase-to-phrase-matching,tgca,662,331,316,647,66,530,0.8006042296072508,0.0,"{""0"": 12, ""1"": 12, ""2"": 35, ""3"": 57, ""4"": 71, ""5"": 80, ""6"": 38, ""7"": 6, ""8"": 5}"
0,whale-categorization-playground,tgca,85,44,44,88,1,85,1.0,0.003723908366841838,"{""1"": 1, ""2"": 1, ""3"": 5, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 14, ""8"": 1}"
1,aptos2019-blindness-detection,sibling_only,34,17,0,17,17,2,0.058823529411764705,0.0,{}
1,chaii-hindi-and-tamil-question-answering,sibling_only,204,212,0,212,72,5,0.024509803921568627,0.0,{}
1,denoising-dirty-documents,sibling_only,202,189,0,189,81,5,0.024752475247524754,0.0,{}
1,dog-breed-identification,sibling_only,113,69,0,69,53,4,0.035398230088495575,0.0,{}
1,dogs-vs-cats-redux-kernels-edition,sibling_only,22,11,0,11,11,2,0.09090909090909091,0.0,{}
1,google-quest-challenge,sibling_only,72,36,0,36,36,2,0.027777777777777776,0.0,{}
1,histopathologic-cancer-detection,sibling_only,30,15,0,15,15,2,0.06666666666666667,0.0,{}
1,kuzushiji-recognition,sibling_only,18,9,0,9,9,2,0.1111111111111111,0.0,{}
1,leaf-classification,sibling_only,372,329,0,329,140,5,0.013440860215053764,0.0,{}
1,learning-agency-lab-automated-essay-scoring-2,sibling_only,63,48,0,48,26,3,0.047619047619047616,0.0,{}
1,mlsp-2013-birds,sibling_only,204,225,0,225,71,5,0.024509803921568627,0.0,{}
1,nomad2018-predict-transparent-conductors,sibling_only,148,170,0,170,49,5,0.033783783783783786,0.0,{}
1,petfinder-pawpularity-score,sibling_only,359,291,0,291,142,3,0.008356545961002786,0.0,{}
1,random-acts-of-pizza,sibling_only,608,454,0,454,256,5,0.008223684210526315,0.0,{}
1,spaceship-titanic,sibling_only,48,41,0,41,19,4,0.08333333333333333,0.0,{}
1,spooky-author-identification,sibling_only,783,645,0,645,302,4,0.005108556832694764,0.0,{}
1,tabular-playground-series-dec-2021,sibling_only,48,27,0,27,23,3,0.0625,0.0,{}
1,tabular-playground-series-may-2022,sibling_only,91,76,0,76,38,5,0.054945054945054944,0.0,{}
1,text-normalization-challenge-english-language,sibling_only,34,17,0,17,17,2,0.058823529411764705,0.0,{}
1,text-normalization-challenge-russian-language,sibling_only,168,84,0,84,84,2,0.011904761904761904,0.0,{}
1,tweet-sentiment-extraction,sibling_only,80,40,0,40,40,2,0.025,0.0,{}
1,us-patent-phrase-to-phrase-matching,sibling_only,672,336,0,336,336,2,0.002976190476190476,0.0,{}
1,whale-categorization-playground,sibling_only,135,69,0,69,67,3,0.022222222222222223,0.0,{}
1,aptos2019-blindness-detection,sibling_reweight_control,34,17,0,17,17,2,0.058823529411764705,0.0,{}
1,chaii-hindi-and-tamil-question-answering,sibling_reweight_control,204,212,212,212,72,5,0.024509803921568627,0.0,"{""3"": 9, ""4"": 30, ""5"": 61, ""6"": 68, ""7"": 34, ""8"": 10}"
1,denoising-dirty-documents,sibling_reweight_control,202,189,189,189,81,5,0.024752475247524754,0.0,"{""0"": 8, ""1"": 4, ""2"": 25, ""3"": 49, ""4"": 41, ""5"": 21, ""6"": 34, ""7"": 7}"
1,dog-breed-identification,sibling_reweight_control,113,69,69,69,53,4,0.035398230088495575,0.0,"{""2"": 2, ""3"": 1, ""4"": 12, ""5"": 18, ""6"": 8, ""7"": 20, ""8"": 8}"
1,dogs-vs-cats-redux-kernels-edition,sibling_reweight_control,22,11,11,11,11,2,0.09090909090909091,0.0,"{""2"": 2, ""3"": 3, ""4"": 1, ""5"": 3, ""6"": 2}"
1,google-quest-challenge,sibling_reweight_control,72,36,36,36,36,2,0.027777777777777776,0.0,"{""3"": 1, ""4"": 10, ""5"": 10, ""6"": 11, ""7"": 4}"
1,histopathologic-cancer-detection,sibling_reweight_control,30,15,15,15,15,2,0.06666666666666667,0.0,"{""0"": 2, ""1"": 2, ""2"": 6, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 1}"
1,kuzushiji-recognition,sibling_reweight_control,18,9,8,9,9,2,0.1111111111111111,0.0,"{""3"": 1, ""5"": 2, ""6"": 2, ""7"": 2, ""8"": 1}"
1,leaf-classification,sibling_reweight_control,372,329,329,329,140,5,0.013440860215053764,0.0,"{""1"": 2, ""2"": 6, ""3"": 5, ""4"": 27, ""5"": 57, ""6"": 72, ""7"": 56, ""8"": 104}"
1,learning-agency-lab-automated-essay-scoring-2,sibling_reweight_control,63,48,48,48,26,3,0.047619047619047616,0.0,"{""0"": 2, ""2"": 1, ""3"": 8, ""4"": 14, ""5"": 17, ""6"": 5, ""8"": 1}"
1,mlsp-2013-birds,sibling_reweight_control,204,225,225,225,71,5,0.024509803921568627,0.0,"{""2"": 1, ""3"": 7, ""4"": 35, ""5"": 59, ""6"": 63, ""7"": 41, ""8"": 19}"
1,nomad2018-predict-transparent-conductors,sibling_reweight_control,148,170,170,170,49,5,0.033783783783783786,0.0,"{""0"": 4, ""1"": 17, ""2"": 45, ""3"": 47, ""4"": 31, ""5"": 9, ""6"": 9, ""7"": 8}"
1,petfinder-pawpularity-score,sibling_reweight_control,359,291,291,291,142,3,0.008356545961002786,0.0,"{""2"": 2, ""3"": 11, ""4"": 23, ""5"": 35, ""6"": 88, ""7"": 62, ""8"": 70}"
1,random-acts-of-pizza,sibling_reweight_control,608,454,454,454,256,5,0.008223684210526315,0.0,"{""0"": 8, ""1"": 10, ""2"": 29, ""3"": 76, ""4"": 172, ""5"": 89, ""6"": 50, ""7"": 20}"
1,spaceship-titanic,sibling_reweight_control,48,41,41,41,19,4,0.08333333333333333,0.0,"{""3"": 6, ""4"": 8, ""5"": 14, ""6"": 10, ""7"": 3}"
1,spooky-author-identification,sibling_reweight_control,783,645,645,645,302,4,0.005108556832694764,0.0,"{""0"": 19, ""1"": 26, ""2"": 33, ""3"": 69, ""4"": 137, ""5"": 160, ""6"": 154, ""7"": 36, ""8"": 11}"
1,tabular-playground-series-dec-2021,sibling_reweight_control,48,27,27,27,23,3,0.0625,0.0,"{""0"": 6, ""1"": 3, ""2"": 6, ""3"": 1, ""4"": 4, ""7"": 2, ""8"": 5}"
1,tabular-playground-series-may-2022,sibling_reweight_control,91,76,76,76,38,5,0.054945054945054944,0.0,"{""0"": 1, ""2"": 6, ""3"": 14, ""4"": 19, ""5"": 10, ""6"": 5, ""7"": 19, ""8"": 2}"
1,text-normalization-challenge-english-language,sibling_reweight_control,34,17,17,17,17,2,0.058823529411764705,0.0,"{""0"": 1, ""1"": 1, ""2"": 5, ""3"": 6, ""4"": 2, ""5"": 1, ""6"": 1}"
1,text-normalization-challenge-russian-language,sibling_reweight_control,168,84,84,84,84,2,0.011904761904761904,0.0,"{""0"": 17, ""1"": 12, ""2"": 23, ""3"": 17, ""4"": 5, ""5"": 1, ""6"": 6, ""7"": 3}"
1,tweet-sentiment-extraction,sibling_reweight_control,80,40,33,40,40,2,0.025,0.0,"{""1"": 2, ""2"": 6, ""3"": 10, ""4"": 9, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 1}"
1,us-patent-phrase-to-phrase-matching,sibling_reweight_control,672,336,330,336,336,2,0.002976190476190476,0.0,"{""0"": 15, ""1"": 24, ""2"": 36, ""3"": 57, ""4"": 70, ""5"": 79, ""6"": 38, ""7"": 6, ""8"": 5}"
1,whale-categorization-playground,sibling_reweight_control,135,69,69,69,67,3,0.022222222222222223,0.0,"{""1"": 1, ""2"": 2, ""3"": 6, ""4"": 14, ""5"": 13, ""6"": 14, ""7"": 18, ""8"": 1}"
1,aptos2019-blindness-detection,uniform_crossrun_control,34,17,0,17,17,2,0.058823529411764705,0.0,{}
1,chaii-hindi-and-tamil-question-answering,uniform_crossrun_control,204,212,212,424,3,200,0.9803921568627451,0.0,"{""4"": 1, ""5"": 3, ""6"": 33, ""7"": 69, ""8"": 106}"
1,denoising-dirty-documents,uniform_crossrun_control,202,189,189,378,3,197,0.9752475247524752,0.0,"{""0"": 4, ""1"": 1, ""2"": 10, ""3"": 29, ""4"": 61, ""5"": 25, ""6"": 43, ""7"": 16}"
1,dog-breed-identification,uniform_crossrun_control,113,69,69,138,3,109,0.9646017699115044,0.0,"{""3"": 1, ""4"": 2, ""5"": 5, ""6"": 17, ""7"": 30, ""8"": 14}"
1,dogs-vs-cats-redux-kernels-edition,uniform_crossrun_control,22,11,11,22,4,16,0.7272727272727273,0.0,"{""1"": 1, ""2"": 1, ""3"": 2, ""4"": 5, ""5"": 2}"
1,google-quest-challenge,uniform_crossrun_control,72,36,36,72,8,48,0.6666666666666666,0.0,"{""1"": 1, ""3"": 1, ""4"": 2, ""5"": 4, ""6"": 15, ""7"": 12, ""8"": 1}"
1,histopathologic-cancer-detection,uniform_crossrun_control,30,15,15,30,3,26,0.8666666666666667,0.0,"{""0"": 1, ""2"": 5, ""3"": 2, ""4"": 5, ""5"": 1, ""6"": 1}"
1,kuzushiji-recognition,uniform_crossrun_control,18,9,8,17,1,18,1.0,0.043933749650257564,"{""6"": 1, ""7"": 4, ""8"": 3}"
1,leaf-classification,uniform_crossrun_control,372,329,329,658,2,370,0.9946236559139785,0.0,"{""2"": 2, ""3"": 2, ""4"": 1, ""5"": 18, ""6"": 41, ""7"": 52, ""8"": 213}"
1,learning-agency-lab-automated-essay-scoring-2,uniform_crossrun_control,63,48,48,96,1,63,1.0,0.023946883893046007,"{""2"": 2, ""3"": 1, ""4"": 13, ""5"": 23, ""6"": 9}"
1,mlsp-2013-birds,uniform_crossrun_control,204,225,225,450,1,204,1.0,0.05714667930042763,"{""1"": 1, ""3"": 5, ""4"": 16, ""5"": 29, ""6"": 93, ""7"": 66, ""8"": 15}"
1,nomad2018-predict-transparent-conductors,uniform_crossrun_control,148,170,170,340,1,148,1.0,0.12671462831101823,"{""0"": 3, ""1"": 5, ""2"": 10, ""3"": 36, ""4"": 68, ""5"": 22, ""6"": 14, ""7"": 12}"
1,petfinder-pawpularity-score,uniform_crossrun_control,359,291,291,582,6,347,0.9665738161559888,0.0,"{""3"": 2, ""4"": 3, ""5"": 5, ""6"": 16, ""7"": 26, ""8"": 239}"
1,random-acts-of-pizza,uniform_crossrun_control,608,454,454,908,14,577,0.9490131578947368,0.0,"{""1"": 4, ""2"": 4, ""3"": 9, ""4"": 36, ""5"": 82, ""6"": 265, ""7"": 54}"
1,spaceship-titanic,uniform_crossrun_control,48,41,41,82,2,46,0.9583333333333334,0.0,"{""3"": 5, ""4"": 12, ""5"": 11, ""6"": 11, ""7"": 2}"
1,spooky-author-identification,uniform_crossrun_control,783,645,645,1290,5,774,0.9885057471264368,0.0,"{""2"": 3, ""3"": 18, ""4"": 31, ""5"": 110, ""6"": 321, ""7"": 147, ""8"": 15}"
1,tabular-playground-series-dec-2021,uniform_crossrun_control,48,27,27,54,1,48,1.0,0.011163712901390649,"{""0"": 1, ""1"": 3, ""2"": 5, ""3"": 5, ""4"": 3, ""5"": 5, ""6"": 1, ""7"": 2, ""8"": 2}"
1,tabular-playground-series-may-2022,uniform_crossrun_control,91,76,76,152,2,89,0.978021978021978,0.0,"{""2"": 1, ""3"": 4, ""4"": 6, ""5"": 14, ""6"": 22, ""7"": 26, ""8"": 3}"
1,text-normalization-challenge-english-language,uniform_crossrun_control,34,17,17,34,4,28,0.8235294117647058,0.0,"{""1"": 2, ""2"": 2, ""3"": 7, ""4"": 4, ""5"": 1, ""6"": 1}"
1,text-normalization-challenge-russian-language,uniform_crossrun_control,168,84,84,168,16,132,0.7857142857142857,0.0,"{""0"": 2, ""1"": 6, ""2"": 11, ""3"": 21, ""4"": 29, ""5"": 3, ""6"": 8, ""7"": 4}"
1,tweet-sentiment-extraction,uniform_crossrun_control,80,40,33,73,10,42,0.525,0.0,"{""4"": 9, ""5"": 15, ""6"": 5, ""8"": 4}"
