parent,task,run,fold,tri_unanimous_q20_vote,char_margin_matched_vote,unanimous_crc_matched_vote,char_crc_matched_vote,random_on_primary_vote,oracle_all_vote,random_all_vote
aptos2019-blindness-detection__f2811fa445504df3bb3d5564186a066a,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,,,1,-1
aptos2019-blindness-detection__fb3c98c1011f44b58051b1f7388c5b8d,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,1,,,,1,-1
chaii-hindi-and-tamil-question-answering__12233490b1ed47b8800a579fc82587af,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,,,,,,1,-1
chaii-hindi-and-tamil-question-answering__15bf82b679654e92ad1b13f290763a30,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:17,1,,-1,,,,1,1
chaii-hindi-and-tamil-question-answering__19e7c8f48bea4e99b000c4ca852f34bc,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:11,2,,,,,,-1,-1
chaii-hindi-and-tamil-question-answering__1ce9213c6d304b73aa61667d564e3454,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,,1,,,,-1,-1
chaii-hindi-and-tamil-question-answering__21104254cc334291835449e910023abf,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:17,1,-1,,-1,,-1,1,1
chaii-hindi-and-tamil-question-answering__2c1f23a63f75456aa3a401d3e7601535,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:11,2,,,,,,-1,1
chaii-hindi-and-tamil-question-answering__2e435f89325641498e799472b4c6fa87,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:11,2,,,,1,,1,-1
chaii-hindi-and-tamil-question-answering__37e85ef4466f47aca2f77fac56078048,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:16,3,-1,-1,,,-1,1,1
chaii-hindi-and-tamil-question-answering__382e8200aaf34fb58c1b80d11701fec4,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:17,1,,,,,,-1,-1
chaii-hindi-and-tamil-question-answering__3b96ff69d1c04374af2814961258f402,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:15,1,,-1,,,,-1,1
chaii-hindi-and-tamil-question-answering__3fc47905f3dc49198b3f455b31f0eada,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,,,,,,-1,-1
chaii-hindi-and-tamil-question-answering__4b5f15515dae48a4b4a277d0cf2e68bc,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:17,1,,,,,,1,1
chaii-hindi-and-tamil-question-answering__4cf90c96bc1a4969813a09fa8053fa39,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:16,3,,,1,,,-1,1
chaii-hindi-and-tamil-question-answering__4debf6ae333e498a9fb2ba701f87636a,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:17,1,,,,,,-1,1
chaii-hindi-and-tamil-question-answering__54105c6022bc4ca4ab5465161505d887,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:14,2,,,,,,1,1
chaii-hindi-and-tamil-question-answering__57e345d599ab4df6be1529dbb33e34b0,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:15,1,-1,,-1,-1,-1,-1,1
chaii-hindi-and-tamil-question-answering__6781a51d363540b4b047369e7fcc3447,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,,1,,,,-1,-1
chaii-hindi-and-tamil-question-answering__69d65f08cccf4f4b9f79b57bef794495,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:17,1,1,,1,,-1,-1,1
chaii-hindi-and-tamil-question-answering__6ac5a77961474eee8e9fb9291b41e680,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:15,1,1,,1,,-1,1,1
chaii-hindi-and-tamil-question-answering__7959cb183dec47ceba321137ebec3a03,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,,,,,,1,1
chaii-hindi-and-tamil-question-answering__7b1505a076a248f28801e4ef17d83eed,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,,,,,,-1,1
chaii-hindi-and-tamil-question-answering__7e2ec685420c45a0b6de87d9eddcbb3d,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:17,1,,,,-1,,-1,-1
chaii-hindi-and-tamil-question-answering__7fe713489d224a81b014aaf13fc9ff1e,chaii-hindi-and-tamil-question-answering,cards_deepB2.jsonl:0,1,,,1,,,-1,1
chaii-hindi-and-tamil-question-answering__8d3fb13e8ba54fd09af48c2bb047612c,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:15,1,,,,,,1,1
chaii-hindi-and-tamil-question-answering__9465d94bd39c43f798ae213bbaa66e23,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:14,2,-1,-1,,,-1,1,-1
chaii-hindi-and-tamil-question-answering__a80c0d3498d243498526460b91385d5d,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,,,,1,,-1,1
chaii-hindi-and-tamil-question-answering__a968d4a9241f4b978e04c474c3ec2257,chaii-hindi-and-tamil-question-answering,cards_senior_0728.jsonl:10,0,,-1,,,,-1,1
chaii-hindi-and-tamil-question-answering__b1bb23ab7e6740a180de0045f0fcadee,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,,,1,1,,1,1
chaii-hindi-and-tamil-question-answering__b730af42042d4c1797f4fd7f37afd2d1,chaii-hindi-and-tamil-question-answering,cards_senior_0728.jsonl:12,4,,,,,,1,1
chaii-hindi-and-tamil-question-answering__bee5519398da42549173d6caf53c1a4e,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:15,1,-1,,,-1,1,1,-1
chaii-hindi-and-tamil-question-answering__d1d022435c3b409e9970c743198a4300,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:11,2,,,,1,,-1,1
chaii-hindi-and-tamil-question-answering__d3d5f82ef3b74d0199436ac9b8badabe,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,,,,,,-1,1
chaii-hindi-and-tamil-question-answering__d9bd87b38c3d4489a30a763158ab9fc5,chaii-hindi-and-tamil-question-answering,cards_senior_0728.jsonl:11,3,,,,,,-1,1
chaii-hindi-and-tamil-question-answering__dababeecbe2a4fd3b72d556046d9b174,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,-1,-1,-1,,1,-1,1
chaii-hindi-and-tamil-question-answering__e0740129fc18455ab7ec3e48eb16846b,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:14,2,,,,,,-1,-1
chaii-hindi-and-tamil-question-answering__e0927c0e9b924c12b1ece26ffd279430,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:14,2,,,,,,1,-1
chaii-hindi-and-tamil-question-answering__e62489175da2476fb20bfbe7ed01296f,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,,,,,,-1,1
chaii-hindi-and-tamil-question-answering__e892a908998a4cedb11fb91b25c39f25,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:14,2,,,,,,-1,1
chaii-hindi-and-tamil-question-answering__eea14144009a443ebafb1626798fa8b8,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:15,1,,,,,,1,-1
chaii-hindi-and-tamil-question-answering__f575abe050754a08bb2e8626e558292b,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,,,,-1,,1,1
chaii-hindi-and-tamil-question-answering__fa27954124d04d49b9925bf52f2b8d9b,chaii-hindi-and-tamil-question-answering,cards_senior_0801.jsonl:12,3,,,,,,-1,1
denoising-dirty-documents__00519b5a64af4292b94b4c0b41c1e393,denoising-dirty-documents,cards_senior_0731.jsonl:15,4,,-1,,-1,,-1,-1
denoising-dirty-documents__075512b0e81045c2bed409c60a2d125c,denoising-dirty-documents,cards_senior_0731.jsonl:14,4,,,,,,-1,-1
denoising-dirty-documents__09c2a046f3dd4e9780d776e0170697ed,denoising-dirty-documents,cards_senior_0731.jsonl:15,4,-1,-1,-1,,1,1,1
denoising-dirty-documents__0aca6a6c82f0489c8f955481d4974707,denoising-dirty-documents,cards_senior_0729.jsonl:16,0,1,,1,1,-1,1,1
denoising-dirty-documents__13fb2daba30b4c6c98c870022a56e8a9,denoising-dirty-documents,cards_senior_0729.jsonl:16,0,1,1,1,,-1,1,-1
denoising-dirty-documents__146a7aa2cc3a43e8a53b7aa4ca4d38ee,denoising-dirty-documents,cards_senior_0729.jsonl:15,0,,,,,,1,1
denoising-dirty-documents__1a67ba39b11e404ca31c19552bd45b45,denoising-dirty-documents,cards_senior_0729.jsonl:17,4,,,,,,-1,-1
denoising-dirty-documents__1a82edeb96734115a5b6c0e5e7635664,denoising-dirty-documents,cards_senior_0802.jsonl:11,2,1,,1,,-1,1,1
denoising-dirty-documents__1b36634d3aea4567a331367a64544ded,denoising-dirty-documents,cards_senior_0804.jsonl:20,0,,,,,,1,-1
denoising-dirty-documents__1c99f45e33644a2ca2b674c4d20d4827,denoising-dirty-documents,cards_senior_0731.jsonl:14,4,,-1,,-1,,-1,-1
denoising-dirty-documents__1cf2d6ea2b93447e8c6945eb79567a4b,denoising-dirty-documents,cards_senior_0731.jsonl:12,4,,,,,,1,1
denoising-dirty-documents__2293eeb356984ce2b3e4975c75b4f002,denoising-dirty-documents,cards_senior_0729.jsonl:16,0,,1,,,,1,1
denoising-dirty-documents__261c237b49824082995198eb1d835065,denoising-dirty-documents,cards_senior_0731.jsonl:14,4,1,,,1,-1,1,1
denoising-dirty-documents__26356ef89ee7474f96be9cdc11c35945,denoising-dirty-documents,cards_senior_0727.jsonl:12,2,,,,,,-1,1
denoising-dirty-documents__2cfdce7de5074672a460f20212708a12,denoising-dirty-documents,cards_senior_0727.jsonl:13,2,,,,,,1,1
denoising-dirty-documents__30008fac6b1d42d5bf96fda9ef6b273d,denoising-dirty-documents,cards_senior_0731.jsonl:11,4,,,,,,1,-1
denoising-dirty-documents__3aeda93132994b7f980540084ab971fb,denoising-dirty-documents,cards_senior_0802.jsonl:11,2,,,,,,-1,1
denoising-dirty-documents__3c47203ac5a84fd298a41ffefca762ec,denoising-dirty-documents,cards_senior_0731.jsonl:11,4,,,,,,1,1
denoising-dirty-documents__3fe3259967fb49a4aeb23f765f78124f,denoising-dirty-documents,cards_senior_0727.jsonl:12,2,,,,,,-1,1
denoising-dirty-documents__4398d5cc228947488032873d5303ab83,denoising-dirty-documents,cards_senior_0729.jsonl:15,0,,-1,,,,-1,-1
denoising-dirty-documents__4f102726d3fb43c6addd36f6d09c5851,denoising-dirty-documents,cards_senior_0731.jsonl:11,4,,,-1,,,-1,1
denoising-dirty-documents__5dd5355e0ad043d9a30db74d65af47e7,denoising-dirty-documents,cards_senior_0731.jsonl:11,4,,,,,,1,-1
denoising-dirty-documents__618d3e243e544455ac770925bb93f7c1,denoising-dirty-documents,cards_senior_0731.jsonl:11,4,,,,,,-1,1
denoising-dirty-documents__642a324ddd2b4319ad26e8acaaf29010,denoising-dirty-documents,cards_senior_0731.jsonl:10,2,,1,,,,-1,1
denoising-dirty-documents__6ba55899777a4bc0932de6c3168f29b3,denoising-dirty-documents,cards_senior_0804.jsonl:19,3,,1,,,,1,1
denoising-dirty-documents__6eb761d848d049e488bf194b4099a58a,denoising-dirty-documents,cards_senior_0731.jsonl:10,2,,,,,,1,1
denoising-dirty-documents__724061f02b0747928733a079bf823ded,denoising-dirty-documents,cards_senior_0804.jsonl:19,3,,,-1,,,-1,-1
denoising-dirty-documents__7390ef4fa69b4c63826abb79421c32ee,denoising-dirty-documents,cards_senior_0731.jsonl:15,4,,,,,,-1,-1
denoising-dirty-documents__7485882d12994f3e9af70e1f0d627de6,denoising-dirty-documents,cards_senior_0804.jsonl:19,3,,,,,,-1,1
denoising-dirty-documents__769ef8b53d1f44b2a3129bea63f51818,denoising-dirty-documents,cards_senior_0731.jsonl:11,4,,,,,,-1,1
denoising-dirty-documents__7f06df42780d4e39b49b1c118620ef83,denoising-dirty-documents,cards_senior_0804.jsonl:21,4,,,,-1,,1,-1
denoising-dirty-documents__8003b970774a406aba1cfafbfb723a99,denoising-dirty-documents,cards_senior_0731.jsonl:10,2,,,,,,-1,1
denoising-dirty-documents__8339c9f85088421bb4beda088448deef,denoising-dirty-documents,cards_senior_0727.jsonl:15,1,1,,1,,1,-1,1
denoising-dirty-documents__877c97ffc4fa4aa2965f8c5ed4c670d1,denoising-dirty-documents,cards_senior_0727.jsonl:13,2,,,,,,-1,-1
denoising-dirty-documents__884640de24604f0983c4db0e464d0a50,denoising-dirty-documents,cards_senior_0731.jsonl:10,2,,-1,,,,1,-1
denoising-dirty-documents__884965244b7b489896de9a44ea51f24f,denoising-dirty-documents,cards_senior_0727.jsonl:12,2,1,,,,-1,1,-1
denoising-dirty-documents__970d1a2302b04ebe9c63451e00d84748,denoising-dirty-documents,cards_senior_0731.jsonl:11,4,,,,,,-1,-1
denoising-dirty-documents__979a1edc77d64afa92e1a8ff3c6c2f7c,denoising-dirty-documents,cards_senior_0727.jsonl:13,2,,,1,1,,-1,-1
denoising-dirty-documents__9a76182c35c8400ba132d8d23424cd13,denoising-dirty-documents,cards_senior_0731.jsonl:11,4,,,,1,,-1,-1
denoising-dirty-documents__9c983a71355b408fbdcd6e0c10e1dbbe,denoising-dirty-documents,cards_deepB2.jsonl:1,3,,,,-1,,1,1
denoising-dirty-documents__a0e631cdf88b4bb0ad7b89c7d46d1aba,denoising-dirty-documents,cards_senior_0727.jsonl:12,2,,,,,,-1,-1
denoising-dirty-documents__a5a8697b65e942bda666462b387d7d33,denoising-dirty-documents,cards_senior_0731.jsonl:12,4,,,,,,-1,1
denoising-dirty-documents__a6570b163a754bc0ac97f1dde46b4dbb,denoising-dirty-documents,cards_deepB2.jsonl:1,3,,,,-1,,-1,-1
denoising-dirty-documents__a972502c16d846c580fbf1eb15e3fbd5,denoising-dirty-documents,cards_senior_0731.jsonl:11,4,-1,-1,-1,,-1,1,1
denoising-dirty-documents__aa9624ddd2854010bee729a19d25d5dc,denoising-dirty-documents,cards_senior_0804.jsonl:20,0,,,,,,-1,-1
denoising-dirty-documents__bee2ab4a0b284417a22b92ca5c53934d,denoising-dirty-documents,cards_senior_0731.jsonl:10,2,,,,,,-1,-1
denoising-dirty-documents__c809b5493ece45a6884ef4559453885f,denoising-dirty-documents,cards_senior_0729.jsonl:14,1,,,,,,-1,-1
denoising-dirty-documents__cd999b7c9c0a46f7b6002afe7a2b0db9,denoising-dirty-documents,cards_senior_0731.jsonl:14,4,,,,,,1,1
denoising-dirty-documents__d0184d3c53fc46a78d8bd569c15bea57,denoising-dirty-documents,cards_senior_0729.jsonl:18,4,,,,,,1,-1
denoising-dirty-documents__d0b4b22799f64af8b97f79b6d12d19d7,denoising-dirty-documents,cards_senior_0731.jsonl:10,2,,,,,,-1,1
denoising-dirty-documents__d1922846533a4bcbbd9e393fcc4cf649,denoising-dirty-documents,cards_senior_0727.jsonl:15,1,,,,1,,1,-1
denoising-dirty-documents__d1d81aed761e4c89818e51aced91bb39,denoising-dirty-documents,cards_senior_0729.jsonl:18,4,,,1,1,,1,-1
denoising-dirty-documents__d5bb8863d43e4e079c3fe8c8ce599684,denoising-dirty-documents,cards_senior_0731.jsonl:14,4,,,,,,-1,1
denoising-dirty-documents__d7fb993d3324496f8f4981b7ae5fe9fa,denoising-dirty-documents,cards_senior_0731.jsonl:14,4,,,,,,-1,-1
denoising-dirty-documents__da659e068e814516807ce9426ac22de1,denoising-dirty-documents,cards_senior_0804.jsonl:21,4,,,,,,1,-1
denoising-dirty-documents__dd4fb315bd8945b49ac174a71614cc7a,denoising-dirty-documents,cards_senior_0731.jsonl:10,2,1,1,,,-1,1,1
denoising-dirty-documents__e1583cebda334f00aafe46ab7ac9daef,denoising-dirty-documents,cards_senior_0731.jsonl:11,4,-1,-1,,,1,1,1
denoising-dirty-documents__e733421ae05c431389ce49bcb915120b,denoising-dirty-documents,cards_senior_0729.jsonl:14,1,,,,,,1,1
denoising-dirty-documents__e831b3d055194b758e877ff6ffaf2814,denoising-dirty-documents,cards_senior_0731.jsonl:10,2,,,,,,1,1
denoising-dirty-documents__ec0f9c6e7dfc40a9a9f3d2134dccd5b1,denoising-dirty-documents,cards_senior_0731.jsonl:14,4,,,,,,1,-1
denoising-dirty-documents__eff832f0484343608906d361c6e198a2,denoising-dirty-documents,cards_senior_0804.jsonl:21,4,,,,,,1,-1
denoising-dirty-documents__f153507d728a434eb982a2772106c24b,denoising-dirty-documents,cards_senior_0731.jsonl:10,2,,1,,,,1,1
denoising-dirty-documents__f16321f400e54c8cb008297b761fdd2d,denoising-dirty-documents,cards_senior_0731.jsonl:15,4,-1,,-1,,1,-1,-1
denoising-dirty-documents__f16cb0c8d1e54a1bb9b066cf52ce885e,denoising-dirty-documents,cards_senior_0804.jsonl:19,3,,,,-1,,-1,1
denoising-dirty-documents__f1ea17f1528c4b5da499dd636cd0cdf6,denoising-dirty-documents,cards_senior_0729.jsonl:14,1,-1,,-1,,-1,-1,1
denoising-dirty-documents__f21a289dfd2744149a40c02dfe235064,denoising-dirty-documents,cards_senior_0731.jsonl:15,4,,,,,,-1,1
denoising-dirty-documents__fa896a54b8514395b34f363f41ef8c75,denoising-dirty-documents,cards_senior_0731.jsonl:14,4,,,,1,,1,-1
denoising-dirty-documents__fdd79fc2de97469392b1e12b788849a1,denoising-dirty-documents,cards_senior_0729.jsonl:18,4,-1,,-1,,1,-1,-1
dog-breed-identification__01afc188f5244b04ae5a0da1d7243370,dog-breed-identification,cards_senior_0806.jsonl:19,0,-1,,-1,,1,1,1
dog-breed-identification__042964e0c705408a9e5e7b75d0e4ab49,dog-breed-identification,cards_senior_0806.jsonl:19,0,,,,,,1,-1
dog-breed-identification__05fd614ea5c44e44b990423d21829f68,dog-breed-identification,cards_senior_0806.jsonl:21,0,,,,-1,,1,1
dog-breed-identification__0b9d8e3f7c81433eaa973acc365097ea,dog-breed-identification,cards_senior_0806.jsonl:22,4,1,1,1,,-1,1,1
dog-breed-identification__0de39baf0b584ae1ac8c137ab965a531,dog-breed-identification,cards_senior_0804.jsonl:14,0,,,,,,1,-1
dog-breed-identification__1439e787c011416baa4d1a5b078acf5d,dog-breed-identification,cards_senior_0806.jsonl:19,0,,,,1,,1,1
dog-breed-identification__1e421e96af7c4a308ec5f7e108900e36,dog-breed-identification,cards_senior_0801.jsonl:25,0,,,,,,-1,1
dog-breed-identification__20595cd30bc84a2c8664715afcb1c35f,dog-breed-identification,cards_senior_0806.jsonl:22,4,,,,,,1,-1
dog-breed-identification__22c29d620c314448b3d5fb9ef53f0e64,dog-breed-identification,cards_senior_0806.jsonl:21,0,-1,,-1,,-1,-1,1
dog-breed-identification__2e71641be44549b180d81a19df60743c,dog-breed-identification,cards_senior_0806.jsonl:19,0,,,,,,1,1
dog-breed-identification__30713f502aec477280f6d2f7fe1d933b,dog-breed-identification,cards_senior_0806.jsonl:21,0,-1,-1,-1,-1,1,1,1
dog-breed-identification__336e2bd51be345158301a332fb5285be,dog-breed-identification,cards_senior_0804.jsonl:12,0,,,,,,1,1
dog-breed-identification__38ac2c4ae7a448e5a9c4f1ffcff879ac,dog-breed-identification,cards_senior_0806.jsonl:21,0,1,1,1,,-1,-1,-1
dog-breed-identification__409cd463787b4bffae3494eca30dd8cc,dog-breed-identification,cards_senior_0806.jsonl:22,4,-1,-1,-1,,1,1,-1
dog-breed-identification__586cf31ff60e4613963ed6e35d64afc3,dog-breed-identification,cards_senior_0806.jsonl:20,3,,-1,,,,1,-1
dog-breed-identification__5b2afeba190746a7937343d655c3c7b3,dog-breed-identification,cards_senior_0804.jsonl:12,0,,,,,,-1,-1
dog-breed-identification__5c86d68bae4b4fa69ddaddc31da4f203,dog-breed-identification,cards_senior_0806.jsonl:19,0,,,,,,-1,1
dog-breed-identification__5e4c4df394f74acf9062a53503cc5fe3,dog-breed-identification,cards_senior_0806.jsonl:21,0,,,,,,-1,1
dog-breed-identification__61d91aca2e294cf797b47a66589470eb,dog-breed-identification,cards_senior_0806.jsonl:22,4,,,,,,1,1
dog-breed-identification__6603249e88bf4ad0a991161fde5278e1,dog-breed-identification,cards_senior_0801.jsonl:19,4,-1,,,,-1,1,-1
dog-breed-identification__6cae946c8aaf4b478e348065c5989d86,dog-breed-identification,cards_senior_0806.jsonl:22,4,,,,,,-1,1
dog-breed-identification__7245a723b30441d5a26781afcbbdbd5a,dog-breed-identification,cards_senior_0806.jsonl:22,4,,,,,,1,-1
dog-breed-identification__77758f750816490999852fb07c96b072,dog-breed-identification,cards_senior_0806.jsonl:22,4,,,,,,1,-1
dog-breed-identification__7a488f1580b24361a56b2e43ab666894,dog-breed-identification,cards_senior_0808.jsonl:25,4,1,,1,,-1,1,-1
dog-breed-identification__7dcf3afdb6c842af8c634cce4d54b7ee,dog-breed-identification,cards_senior_0806.jsonl:22,4,,,,,,-1,1
dog-breed-identification__7deb6e55ed7a4f63bc57c68a6c47a089,dog-breed-identification,cards_senior_0806.jsonl:21,0,,-1,,,,-1,-1
dog-breed-identification__8831aef671f44e4baf03b785b947614a,dog-breed-identification,cards_senior_0806.jsonl:22,4,,,,,,-1,-1
dog-breed-identification__8b4bf32837b245cda70fc9ed9fb0729c,dog-breed-identification,cards_senior_0806.jsonl:21,0,,,,,,-1,1
dog-breed-identification__8ebc7f1f20d8482cb6f69cc019d898ef,dog-breed-identification,cards_senior_0806.jsonl:22,4,,-1,,,,1,1
dog-breed-identification__9cac73c2bc1f47f8af5a5edbc09d75cd,dog-breed-identification,cards_senior_0806.jsonl:21,0,,,,,,1,1
dog-breed-identification__9f71e6fc0cba43ad827dc2b2bc27b178,dog-breed-identification,cards_senior_0806.jsonl:22,4,,,,,,1,-1
dog-breed-identification__a1babe1922574867b4f6753c6e46fdb1,dog-breed-identification,cards_senior_0806.jsonl:22,4,-1,,,,1,-1,1
dog-breed-identification__a2be2362d08c458a9286b6e94b5cc2a8,dog-breed-identification,cards_senior_0806.jsonl:22,4,,,,,,-1,1
dog-breed-identification__a64775f6c5ad46338d48665b1ea8368c,dog-breed-identification,cards_senior_0804.jsonl:13,1,,,,1,,-1,1
dog-breed-identification__aa92811f15bd4c0c8de8e7d474a93e3e,dog-breed-identification,cards_senior_0806.jsonl:21,0,,,,-1,,1,1
dog-breed-identification__adaf981b8ac34e5b8adb75dd91032b3a,dog-breed-identification,cards_senior_0806.jsonl:22,4,,,,1,,1,1
dog-breed-identification__b2c0b05950784f6ba219288806f57169,dog-breed-identification,cards_senior_0804.jsonl:12,0,,,1,,,1,-1
