parent,run_id,task,n_children,n_artifact,n_silent,endpoint_identity_top1,selected_artifact_fraction,deployed_utility,full_final_best_utility,deployed_delta_to_full_final,deployed_matches_or_beats_full,deployed_strictly_beats_full,deployed_strictly_loses_full
leaf-classification__abd955fe1fad4d7a9b4bac2c62a6b1ae,cards_senior_0808.jsonl:34,leaf-classification,2,2,0,1.0,1.0,-0.05206,-0.05206,0.0,1.0,0.0,0.0
leaf-classification__f0411bcb7c8d46b38b6395c0a137f9fd,cards_senior_0808.jsonl:34,leaf-classification,3,3,0,1.0,1.0,-0.00662,-0.00662,0.0,1.0,0.0,0.0
leaf-classification__fc1a4fb5b3cd4cedafd1b81e84071adf,cards_senior_0808.jsonl:33,leaf-classification,2,1,1,1.0,1.0,-0.6156,-0.61396,-0.0016400000000000858,0.0,0.0,1.0
learning-agency-lab-automated-essay-scoring-2__507578e20ae54b25bdde6dc425eafa7d,cards_senior_0803.jsonl:3,learning-agency-lab-automated-essay-scoring-2,2,0,2,1.0,0.0,0.83997,0.83997,0.0,1.0,0.0,0.0
learning-agency-lab-automated-essay-scoring-2__77aac523f90d4cf5afe2eaa03733a189,cards_senior_0803.jsonl:6,learning-agency-lab-automated-essay-scoring-2,2,0,2,1.0,0.0,0.82966,0.82966,0.0,1.0,0.0,0.0
learning-agency-lab-automated-essay-scoring-2__bfdd0bd143fd4cb4ab9357441b7b4d6f,cards_senior_0808.jsonl:8,learning-agency-lab-automated-essay-scoring-2,2,0,2,1.0,0.0,0.81243,0.81243,0.0,1.0,0.0,0.0
learning-agency-lab-automated-essay-scoring-2__d7d7b2c80bc34005a0fec4fc67053498,cards_senior_0803.jsonl:3,learning-agency-lab-automated-essay-scoring-2,3,2,1,0.0,0.0,0.8276,0.83608,-0.008480000000000043,0.0,0.0,1.0
learning-agency-lab-automated-essay-scoring-2__dcadeabb3745444b84238b4e3b4bf557,cards_senior_0803.jsonl:6,learning-agency-lab-automated-essay-scoring-2,2,0,2,1.0,0.0,0.80183,0.80183,0.0,1.0,0.0,0.0
learning-agency-lab-automated-essay-scoring-2__e98c27a1655f4bbda2fc621ba07c232c,cards_senior_0803.jsonl:3,learning-agency-lab-automated-essay-scoring-2,2,2,0,0.0,1.0,0.81153,0.84165,-0.030120000000000036,0.0,0.0,1.0
mlsp-2013-birds__2d82d79adb47473e907e8f34ad15cdb2,cards_senior_0802.jsonl:4,mlsp-2013-birds,5,2,3,0.0,1.0,0.92675,0.92476,0.0019899999999999363,1.0,1.0,0.0
mlsp-2013-birds__35246c86f5b347e18d24e0558af31250,cards_senior_0802.jsonl:4,mlsp-2013-birds,2,2,0,0.0,1.0,0.90411,0.9012,0.002909999999999968,1.0,1.0,0.0
mlsp-2013-birds__5c488535319e494c9944773f9016d969,cards_senior_0726.jsonl:10,mlsp-2013-birds,2,2,0,1.0,1.0,0.87969,0.87969,0.0,1.0,0.0,0.0
mlsp-2013-birds__90f132b316fa4cf98cf1e5efee710b89,cards_senior_0728.jsonl:18,mlsp-2013-birds,3,0,3,1.0,0.0,0.88554,0.88554,0.0,1.0,0.0,0.0
mlsp-2013-birds__c5870d4b8b5442098b53fb4804d68bf5,cards_senior_0802.jsonl:4,mlsp-2013-birds,3,2,1,1.0,0.0,0.91552,0.91552,0.0,1.0,0.0,0.0
mlsp-2013-birds__cbc262e729334ecdaf84f39d41db9d23,cards_senior_0802.jsonl:4,mlsp-2013-birds,4,2,2,1.0,0.0,0.91777,0.91777,0.0,1.0,0.0,0.0
nomad2018-predict-transparent-conductors__1265133eace24ca18de1ac9288f5a1e5,cards_senior_0805seq.jsonl:17,nomad2018-predict-transparent-conductors,2,1,1,1.0,0.0,-0.06352,-0.06352,0.0,1.0,0.0,0.0
nomad2018-predict-transparent-conductors__a396aa16cb464d688b0d8516787a5fac,cards_senior_0805seq.jsonl:19,nomad2018-predict-transparent-conductors,2,2,0,1.0,1.0,-0.05652,-0.0564,-0.00012000000000000205,0.0,0.0,1.0
nomad2018-predict-transparent-conductors__b9e345a509784184a1c3d92ffad28c91,cards_senior_0805seq.jsonl:19,nomad2018-predict-transparent-conductors,2,2,0,1.0,1.0,-0.05681,-0.05596,-0.0008499999999999966,0.0,0.0,1.0
nomad2018-predict-transparent-conductors__bddf4a264bef49469e4450b38388741c,cards_senior_0805seq.jsonl:17,nomad2018-predict-transparent-conductors,2,1,1,1.0,0.0,-0.06388,-0.06388,0.0,1.0,0.0,0.0
nomad2018-predict-transparent-conductors__c9196f00a08c40d5abd7c7eb52b57210,cards_senior_0805seq.jsonl:19,nomad2018-predict-transparent-conductors,2,0,2,1.0,0.0,-0.05727,-0.05727,0.0,1.0,0.0,0.0
nomad2018-predict-transparent-conductors__d50b985553254ae3a951348f909324d9,cards_senior_0805seq.jsonl:19,nomad2018-predict-transparent-conductors,2,2,0,1.0,1.0,-0.05947,-0.05947,0.0,1.0,0.0,0.0
petfinder-pawpularity-score__138ea8837fe24b529d33101fe0e40c1a,cards_senior_0730.jsonl:0,petfinder-pawpularity-score,2,0,2,1.0,0.0,-17.52598,-17.52598,0.0,1.0,0.0,0.0
petfinder-pawpularity-score__20e58240de2d414caa6eba48ddb0990f,cards_senior_0730.jsonl:4,petfinder-pawpularity-score,2,2,0,1.0,1.0,-17.77646,-17.77678,0.00031999999999854367,1.0,1.0,0.0
petfinder-pawpularity-score__5797f718afc7442e850c43666a82d51b,cards_senior_0806.jsonl:1,petfinder-pawpularity-score,2,1,1,1.0,0.0,-17.26663,-17.26663,0.0,1.0,0.0,0.0
petfinder-pawpularity-score__9118020f50e64bdeb8235a9dc9f357ab,cards_senior_0730.jsonl:0,petfinder-pawpularity-score,2,1,1,1.0,1.0,-17.32536,-17.35398,0.02862000000000009,1.0,1.0,0.0
random-acts-of-pizza__5834f6889e5e413f8799624231dbc548,cards_ours_20260727.jsonl:69,random-acts-of-pizza,2,2,0,1.0,1.0,0.7674,0.7674,0.0,1.0,0.0,0.0
random-acts-of-pizza__aa71d9674a4049e0bc46feeada985547,cards_gen3A.jsonl:3,random-acts-of-pizza,5,5,0,1.0,1.0,0.76034,0.76034,0.0,1.0,0.0,0.0
random-acts-of-pizza__c8c057832a7f46de8f2f8ede73ed013f,cards_ours_20260727.jsonl:68,random-acts-of-pizza,3,3,0,1.0,1.0,0.65809,0.65809,0.0,1.0,0.0,0.0
random-acts-of-pizza__e79c47b6ab894f43aa969d2f9ab8051a,cards_gen2C.jsonl:2,random-acts-of-pizza,3,3,0,1.0,1.0,0.78537,0.77421,0.011160000000000059,1.0,1.0,0.0
spaceship-titanic__4fcded37ceb243d0a0ca7d970adedcfb,cards_ours_20260727.jsonl:3,spaceship-titanic,2,2,0,1.0,1.0,0.76437,0.76207,0.0022999999999999687,1.0,1.0,0.0
spooky-author-identification__560eb5d67f17409f9deb149324c55f29,cards_senior_0801.jsonl:4,spooky-author-identification,2,2,0,1.0,1.0,-0.37927,-0.37926,-1.0000000000010001e-05,0.0,0.0,1.0
spooky-author-identification__92ff9885a5194d928b56e8d05f03d004,cards_senior_0801.jsonl:6,spooky-author-identification,3,3,0,1.0,1.0,-0.35903,-0.35903,0.0,1.0,0.0,0.0
spooky-author-identification__b0159499c7cb478eaa490c7fdbd49d1b,cards_senior_0801.jsonl:4,spooky-author-identification,2,2,0,1.0,1.0,-0.37975,-0.37974,-9.99999999995449e-06,0.0,0.0,1.0
spooky-author-identification__d7c4a34657474cb48180f68defba370c,cards_senior_0730.jsonl:5,spooky-author-identification,3,3,0,1.0,1.0,-0.27978,-0.27978,0.0,1.0,0.0,0.0
spooky-author-identification__fbb5259bda6a42b98e9619af0807a957,cards_senior_0730.jsonl:5,spooky-author-identification,3,3,0,1.0,1.0,-0.29461,-0.29461,0.0,1.0,0.0,0.0
spooky-author-identification__ff8dc324b8984305b0dd7c14bee67d7c,cards_t3era_missing.jsonl:14,spooky-author-identification,3,3,0,1.0,1.0,-0.3656,-0.3656,0.0,1.0,0.0,0.0
tabular-playground-series-dec-2021__0cdec0ffd1ff4511b41aa8c691f2f383,cards_senior_0801.jsonl:38,tabular-playground-series-dec-2021,2,0,2,1.0,0.0,0.96324,0.96324,0.0,1.0,0.0,0.0
tabular-playground-series-dec-2021__934ac2235cf749c9ae20875daeb13fda,cards_senior_0807.jsonl:23,tabular-playground-series-dec-2021,2,0,2,1.0,0.0,0.96108,0.96108,0.0,1.0,0.0,0.0
tabular-playground-series-dec-2021__b98b7d0f93774f13b332311ed76e2037,cards_senior_0807.jsonl:22,tabular-playground-series-dec-2021,2,0,2,1.0,0.0,0.96166,0.96166,0.0,1.0,0.0,0.0
tabular-playground-series-may-2022__0ec0c9ffdc0948a4927dab3efcc5eee7,cards_senior_0801.jsonl:29,tabular-playground-series-may-2022,4,0,4,1.0,0.0,0.99355,0.99355,0.0,1.0,0.0,0.0
tabular-playground-series-may-2022__44d0e7b5df4842d99e17e0759da5bc3f,cards_senior_0801.jsonl:29,tabular-playground-series-may-2022,4,0,4,1.0,0.0,0.9883,0.9883,0.0,1.0,0.0,0.0
tabular-playground-series-may-2022__48951967df204997aee3aa2e62532b3c,cards_ours_20260727.jsonl:140,tabular-playground-series-may-2022,2,0,2,1.0,0.0,0.93908,0.93908,0.0,1.0,0.0,0.0
tabular-playground-series-may-2022__818630c414c14ef7b27c045544f284b9,cards_ours_20260727.jsonl:114,tabular-playground-series-may-2022,3,0,3,1.0,0.0,0.93874,0.93874,0.0,1.0,0.0,0.0
tabular-playground-series-may-2022__e8d65c593e2841dcbbf45a87e92889b7,cards_ours_20260727.jsonl:116,tabular-playground-series-may-2022,3,0,3,1.0,0.0,0.91591,0.91591,0.0,1.0,0.0,0.0
tabular-playground-series-may-2022__f2f51b6cab304bd49ba7dc6ff2fe3fda,cards_ours_20260727.jsonl:133,tabular-playground-series-may-2022,2,0,2,1.0,0.0,0.81138,0.81138,0.0,1.0,0.0,0.0
text-normalization-challenge-english-language__1946507488ea4c9cb541223be7df9745,cards_senior_0808.jsonl:23,text-normalization-challenge-english-language,2,0,2,1.0,0.0,0.99158,0.99158,0.0,1.0,0.0,0.0
text-normalization-challenge-english-language__4d90e4cc207d48ae83b235eabf41448b,cards_senior_0808.jsonl:22,text-normalization-challenge-english-language,2,0,2,1.0,0.0,0.99392,0.99392,0.0,1.0,0.0,0.0
text-normalization-challenge-english-language__5a3e417fde89446db15aa4fe5e9af9d1,cards_senior_0808.jsonl:22,text-normalization-challenge-english-language,2,0,2,1.0,0.0,0.99371,0.99371,0.0,1.0,0.0,0.0
text-normalization-challenge-english-language__858e3b43de80440dbd33e324dea2c6b9,cards_senior_0808.jsonl:22,text-normalization-challenge-english-language,2,0,2,1.0,0.0,0.99257,0.99257,0.0,1.0,0.0,0.0
text-normalization-challenge-english-language__d28cf7a8f6e7407285f8890122923641,cards_senior_0808.jsonl:22,text-normalization-challenge-english-language,2,0,2,1.0,0.0,0.99332,0.99332,0.0,1.0,0.0,0.0
text-normalization-challenge-russian-language__0cbe5ab914ed4c0084e137aff6c5aac2,cards_senior_0809.jsonl:23,text-normalization-challenge-russian-language,2,0,2,1.0,0.0,0.97985,0.97985,0.0,1.0,0.0,0.0
text-normalization-challenge-russian-language__265714a90f6144db8d466aa8c461fab3,cards_senior_0809.jsonl:23,text-normalization-challenge-russian-language,2,0,2,1.0,0.0,0.9812,0.9812,0.0,1.0,0.0,0.0
text-normalization-challenge-russian-language__43dbfa889c46450da2f5fab7fcfec4da,cards_senior_0809.jsonl:23,text-normalization-challenge-russian-language,2,0,2,1.0,0.0,0.98255,0.98255,0.0,1.0,0.0,0.0
tweet-sentiment-extraction__5be644ad99144cb6b4497c8660eebaee,cards_senior_0808.jsonl:31,tweet-sentiment-extraction,2,0,2,1.0,0.0,0.70637,0.70637,0.0,1.0,0.0,0.0
tweet-sentiment-extraction__79b72c1b23df4f8db3284a62700da952,cards_senior_0806.jsonl:24,tweet-sentiment-extraction,2,0,2,1.0,0.0,0.67911,0.67911,0.0,1.0,0.0,0.0
tweet-sentiment-extraction__8e67290c9fd54dba997e3b505c195ccd,cards_senior_0808.jsonl:31,tweet-sentiment-extraction,2,0,2,1.0,0.0,0.70236,0.70236,0.0,1.0,0.0,0.0
tweet-sentiment-extraction__d1885b0e987f42cdb76500c3050dc204,cards_senior_0808.jsonl:31,tweet-sentiment-extraction,2,0,2,1.0,0.0,0.71713,0.71713,0.0,1.0,0.0,0.0
tweet-sentiment-extraction__e3a6b0cbf8c442d29c34bfeed357e7b9,cards_ours_20260727.jsonl:78,tweet-sentiment-extraction,2,0,2,1.0,0.0,0.67837,0.67837,0.0,1.0,0.0,0.0
tweet-sentiment-extraction__f4ea2d18e2ab4322a42cebfe171dd8f0,cards_senior_0806.jsonl:24,tweet-sentiment-extraction,2,0,2,1.0,0.0,0.68423,0.68423,0.0,1.0,0.0,0.0
us-patent-phrase-to-phrase-matching__3bd04fbd77e74e74a15e216bba7cb7f2,cards_senior_0809.jsonl:0,us-patent-phrase-to-phrase-matching,2,0,2,1.0,0.0,0.64703,0.64703,0.0,1.0,0.0,0.0
us-patent-phrase-to-phrase-matching__3c22a06bf2df41b8a3919319aec84af6,cards_senior_0809.jsonl:0,us-patent-phrase-to-phrase-matching,2,0,2,1.0,0.0,0.61118,0.61118,0.0,1.0,0.0,0.0
us-patent-phrase-to-phrase-matching__586121ab64c04adcbd5d9cddd9a8797a,cards_senior_0809.jsonl:3,us-patent-phrase-to-phrase-matching,2,0,2,1.0,0.0,0.61917,0.61917,0.0,1.0,0.0,0.0
us-patent-phrase-to-phrase-matching__63a3ae986af04fbe8e877559ccbcee05,cards_senior_0809.jsonl:0,us-patent-phrase-to-phrase-matching,2,0,2,1.0,0.0,0.66862,0.66862,0.0,1.0,0.0,0.0
us-patent-phrase-to-phrase-matching__c7e9f7619a9e4910bb26a158a66a6cee,cards_senior_0809.jsonl:0,us-patent-phrase-to-phrase-matching,2,0,2,1.0,0.0,0.64263,0.64263,0.0,1.0,0.0,0.0
us-patent-phrase-to-phrase-matching__f84b487d869444eeb86d22a584ec13f8,cards_senior_0809.jsonl:0,us-patent-phrase-to-phrase-matching,2,0,2,1.0,0.0,0.64111,0.64111,0.0,1.0,0.0,0.0
whale-categorization-playground__4357df5db0134f668959aefa0ee73ba6,cards_senior_0808.jsonl:4,whale-categorization-playground,2,2,0,1.0,1.0,0.23748,0.23748,0.0,1.0,0.0,0.0
whale-categorization-playground__54180eeefe9d4b4ba451c22272e8596d,cards_senior_0808.jsonl:4,whale-categorization-playground,2,2,0,1.0,1.0,0.20326,0.20326,0.0,1.0,0.0,0.0
whale-categorization-playground__714dd2f45fce42b3bfb1cb7cfc627ac9,cards_senior_0808.jsonl:4,whale-categorization-playground,2,2,0,1.0,1.0,0.2183,0.2183,0.0,1.0,0.0,0.0
whale-categorization-playground__7ce3e536c1e049afa5f3d5e768c58615,cards_senior_0808.jsonl:4,whale-categorization-playground,2,2,0,1.0,1.0,0.22485,0.22485,0.0,1.0,0.0,0.0
whale-categorization-playground__b90628e666304e37aae1d7b746c71421,cards_senior_0808.jsonl:4,whale-categorization-playground,2,2,0,1.0,1.0,0.31614,0.31614,0.0,1.0,0.0,0.0
whale-categorization-playground__fdddc49ca71647528ab0cce114ee3cb1,cards_senior_0808.jsonl:4,whale-categorization-playground,2,1,1,1.0,0.0,0.24305,0.24305,0.0,1.0,0.0,0.0
