task,model_family,release_run,model_token,temperature_token,timestamp,size,oid,path
denoising-dirty-documents,gpt,2,gpt-5_1,1p0,20251211_161746,4104719,2ec4c0716d097276ecba51ddaae6d26b0781e114,solutions_subset_50/denoising-dirty-documents/report/alignment_denoising-dirty-documents_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
denoising-dirty-documents,gpt,3,gpt-5_1,1p0,20251211_171620,4093630,b9e63748b168d52637405fa6fa8e741288236e8c,solutions_subset_50/denoising-dirty-documents/report/alignment_denoising-dirty-documents_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
detecting-insults-in-social-commentary,deepseek,1,deepseek-reasoner,0p0,20251205_214840,5128192,288d8c59aa1f7f5b44c81323c95c78a9e776f6c9,solutions_subset_50/detecting-insults-in-social-commentary/report/alignment_detecting-insults-in-social-commentary_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json
detecting-insults-in-social-commentary,deepseek,2,deepseek-reasoner,0p0,20251209_135057,5281857,a9d344cfe0e67813b3a362325c74bffa25329294,solutions_subset_50/detecting-insults-in-social-commentary/report/alignment_detecting-insults-in-social-commentary_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
detecting-insults-in-social-commentary,deepseek,3,deepseek-reasoner,1p0,20251209_164656,5200685,a63117729ff354f3709311eeda75dcae0c86c4af,solutions_subset_50/detecting-insults-in-social-commentary/report/alignment_detecting-insults-in-social-commentary_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
detecting-insults-in-social-commentary,gpt,1,gpt-5_1,1p0,20251210_154406,1668167,221deb0aea2b554e3d3655c2327851ff4dbeb345,solutions_subset_50/detecting-insults-in-social-commentary/report/alignment_detecting-insults-in-social-commentary_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
detecting-insults-in-social-commentary,gpt,2,gpt-5_1,1p0,20251211_161746,1465579,d36553ed66943c4fb3521e7a758644c3117af12d,solutions_subset_50/detecting-insults-in-social-commentary/report/alignment_detecting-insults-in-social-commentary_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
detecting-insults-in-social-commentary,gpt,3,gpt-5_1,1p0,20251211_171620,1422125,9903bcafc473ec873421cb1712783b8441b894e3,solutions_subset_50/detecting-insults-in-social-commentary/report/alignment_detecting-insults-in-social-commentary_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
dog-breed-identification,deepseek,1,deepseek-reasoner,0p0,20251205_214840,21849,b7f44e6ffe9306938d1ad00ddf76cc0c6befc58b,solutions_subset_50/dog-breed-identification/report/alignment_dog-breed-identification_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json
dog-breed-identification,deepseek,2,deepseek-reasoner,0p0,20251209_135057,21540,6ccc6f5c9705d5c06c9f864d90b58aaf159a6965,solutions_subset_50/dog-breed-identification/report/alignment_dog-breed-identification_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
dog-breed-identification,deepseek,3,deepseek-reasoner,1p0,20251209_164656,32055,6ded2a8d9210740480c8199fa5379cff54af3c0b,solutions_subset_50/dog-breed-identification/report/alignment_dog-breed-identification_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
dog-breed-identification,gpt,1,gpt-5_1,1p0,20251210_154406,12076,78a022947ff240a0283827ec08106f8369b13aaa,solutions_subset_50/dog-breed-identification/report/alignment_dog-breed-identification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
dog-breed-identification,gpt,2,gpt-5_1,1p0,20251211_161746,10327,5c02232f60acfeb8183e33b8adea1a47d678671d,solutions_subset_50/dog-breed-identification/report/alignment_dog-breed-identification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
dog-breed-identification,gpt,3,gpt-5_1,1p0,20251211_171620,9391,7125d10d7b3bc7584d79e25a03e553aff1ae538e,solutions_subset_50/dog-breed-identification/report/alignment_dog-breed-identification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
google-quest-challenge,deepseek,1,deepseek-reasoner,0p0,20251205_214840,13469402,86db7f1b22122cc3edc7fe4cf61d7d1966fab775,solutions_subset_50/google-quest-challenge/report/alignment_google-quest-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json
google-quest-challenge,deepseek,2,deepseek-reasoner,0p0,20251209_135057,13708951,462a85c7a027ba07330a6a9536a4bbd1654f67a4,solutions_subset_50/google-quest-challenge/report/alignment_google-quest-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
google-quest-challenge,deepseek,3,deepseek-reasoner,1p0,20251209_164656,13645103,3aa883af073a622f1fd491f45f5dd8560aa7e429,solutions_subset_50/google-quest-challenge/report/alignment_google-quest-challenge_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
google-quest-challenge,gpt,1,gpt-5_1,1p0,20251210_154406,5087027,fee09935f53c8d564e62bbc81dc9c0c7cfba713f,solutions_subset_50/google-quest-challenge/report/alignment_google-quest-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
google-quest-challenge,gpt,2,gpt-5_1,1p0,20251211_161746,4542682,ff66502e2787680f73e61cf04e712535957d4bbc,solutions_subset_50/google-quest-challenge/report/alignment_google-quest-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
google-quest-challenge,gpt,3,gpt-5_1,1p0,20251211_171620,4727873,866f0a1e51a41e4fedc7dc89fe399cd78b3613d3,solutions_subset_50/google-quest-challenge/report/alignment_google-quest-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
jigsaw-toxic-comment-classification-challenge,deepseek,1,deepseek-reasoner,0p0,20251205_214840,102949,9304a0e0c2974bcca17d87b7716763bec9cc83cd,solutions_subset_50/jigsaw-toxic-comment-classification-challenge/report/alignment_jigsaw-toxic-comment-classification-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json
jigsaw-toxic-comment-classification-challenge,deepseek,2,deepseek-reasoner,0p0,20251209_135057,101886,64c16181edc8d30cedff0b69a0e853a1b059f42d,solutions_subset_50/jigsaw-toxic-comment-classification-challenge/report/alignment_jigsaw-toxic-comment-classification-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
jigsaw-toxic-comment-classification-challenge,deepseek,3,deepseek-reasoner,1p0,20251209_164656,96749,8bc87cb59c73c9b345ab61c442f2f065e93ade71,solutions_subset_50/jigsaw-toxic-comment-classification-challenge/report/alignment_jigsaw-toxic-comment-classification-challenge_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
jigsaw-toxic-comment-classification-challenge,gpt,1,gpt-5_1,1p0,20251210_154406,41142,b1a4959b015d5bfdc51a4f276f62095a5b531fb0,solutions_subset_50/jigsaw-toxic-comment-classification-challenge/report/alignment_jigsaw-toxic-comment-classification-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
jigsaw-toxic-comment-classification-challenge,gpt,2,gpt-5_1,1p0,20251211_161746,44031,5d2dd3c6799e7dbd778049fd6fbf830d0891ccd9,solutions_subset_50/jigsaw-toxic-comment-classification-challenge/report/alignment_jigsaw-toxic-comment-classification-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
jigsaw-toxic-comment-classification-challenge,gpt,3,gpt-5_1,1p0,20251211_171620,40199,1665c7ec78aeef0cfebfc1dcf7fee35e167fbbe0,solutions_subset_50/jigsaw-toxic-comment-classification-challenge/report/alignment_jigsaw-toxic-comment-classification-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
leaf-classification,deepseek,1,deepseek-reasoner,0p0,20251205_214840,1365998,8784cc80085a34041a1641cf1b4556d3a88d869c,solutions_subset_50/leaf-classification/report/alignment_leaf-classification_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json
leaf-classification,deepseek,2,deepseek-reasoner,0p0,20251209_135057,1360530,ebe03e23f6db38ae0eca4884344dc86be0183de3,solutions_subset_50/leaf-classification/report/alignment_leaf-classification_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
leaf-classification,deepseek,3,deepseek-reasoner,1p0,20251209_164656,1353116,78a5fe1755d37c284d2ac96372f36f2dbbaa92bf,solutions_subset_50/leaf-classification/report/alignment_leaf-classification_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
leaf-classification,gpt,1,gpt-5_1,1p0,20251210_154406,507507,c3b85917d39ca0308f60831dab8633ee832186d1,solutions_subset_50/leaf-classification/report/alignment_leaf-classification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
leaf-classification,gpt,2,gpt-5_1,1p0,20251211_161746,445667,1dea827b9454e1411886105590019ff874b015dd,solutions_subset_50/leaf-classification/report/alignment_leaf-classification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
leaf-classification,gpt,3,gpt-5_1,1p0,20251211_171620,456852,2819c6b794ef3be5a812bb46dd0b0642e4315e80,solutions_subset_50/leaf-classification/report/alignment_leaf-classification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
learning-agency-lab-automated-essay-scoring-2,deepseek,1,deepseek-reasoner,0p0,20251205_214840,1791780,edfffa78d9e75245cc5896794f9b4f2001726b19,solutions_subset_50/learning-agency-lab-automated-essay-scoring-2/report/alignment_learning-agency-lab-automated-essay-scoring-2_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json
learning-agency-lab-automated-essay-scoring-2,deepseek,2,deepseek-reasoner,0p0,20251209_135057,1751344,02612c034b99bd35c3d37be7729057403b28ac74,solutions_subset_50/learning-agency-lab-automated-essay-scoring-2/report/alignment_learning-agency-lab-automated-essay-scoring-2_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
learning-agency-lab-automated-essay-scoring-2,deepseek,3,deepseek-reasoner,1p0,20251209_164656,1797050,1cfe44c3c372994f6cf8977d66d92eafe193bfec,solutions_subset_50/learning-agency-lab-automated-essay-scoring-2/report/alignment_learning-agency-lab-automated-essay-scoring-2_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
learning-agency-lab-automated-essay-scoring-2,gpt,1,gpt-5_1,1p0,20251210_154406,603574,14ad997723561f29f8f3438dee3bbfe8c4cd056c,solutions_subset_50/learning-agency-lab-automated-essay-scoring-2/report/alignment_learning-agency-lab-automated-essay-scoring-2_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
learning-agency-lab-automated-essay-scoring-2,gpt,2,gpt-5_1,1p0,20251211_161746,579375,492c41357df2a7f10f39e6867ad5db060271b0e5,solutions_subset_50/learning-agency-lab-automated-essay-scoring-2/report/alignment_learning-agency-lab-automated-essay-scoring-2_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
learning-agency-lab-automated-essay-scoring-2,gpt,3,gpt-5_1,1p0,20251211_171620,574988,d617c0f4f160a978923f7947fb02637e9714f540,solutions_subset_50/learning-agency-lab-automated-essay-scoring-2/report/alignment_learning-agency-lab-automated-essay-scoring-2_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
lmsys-chatbot-arena,deepseek,1,deepseek-reasoner,0p0,20251205_214840,13511798,2c5d134f871aec908850d2097aeb8bb518c6754a,solutions_subset_50/lmsys-chatbot-arena/report/alignment_lmsys-chatbot-arena_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json
lmsys-chatbot-arena,deepseek,2,deepseek-reasoner,0p0,20251209_135057,13378007,598d80dfc10c4e566eabfe1a9fb3e5ec4a34b534,solutions_subset_50/lmsys-chatbot-arena/report/alignment_lmsys-chatbot-arena_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
lmsys-chatbot-arena,deepseek,3,deepseek-reasoner,1p0,20251209_164656,13441699,fa8f8ffff0218f3456702b93eaaa92d193ce7d3c,solutions_subset_50/lmsys-chatbot-arena/report/alignment_lmsys-chatbot-arena_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
lmsys-chatbot-arena,gpt,1,gpt-5_1,1p0,20251210_154406,4112401,01f854e64ce4a27ff8fe18fed403dd4898a7d6bf,solutions_subset_50/lmsys-chatbot-arena/report/alignment_lmsys-chatbot-arena_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
lmsys-chatbot-arena,gpt,2,gpt-5_1,1p0,20251211_161746,3857979,b4b6ca2c1372f1f9464737ac7180034a77553eb8,solutions_subset_50/lmsys-chatbot-arena/report/alignment_lmsys-chatbot-arena_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
lmsys-chatbot-arena,gpt,3,gpt-5_1,1p0,20251211_171620,3846195,1cf58c717a4604000e0007f57c5ac99db5a1ad4a,solutions_subset_50/lmsys-chatbot-arena/report/alignment_lmsys-chatbot-arena_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
mlsp-2013-birds,deepseek,1,deepseek-reasoner,0p0,20251205_214840,13675467,c8733500107474f1c68df02e12b5d3ee198ebecf,solutions_subset_50/mlsp-2013-birds/report/alignment_mlsp-2013-birds_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json
mlsp-2013-birds,deepseek,2,deepseek-reasoner,0p0,20251209_135057,13823066,58151207faf67674db836dbf8d57c29d76c680c0,solutions_subset_50/mlsp-2013-birds/report/alignment_mlsp-2013-birds_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
mlsp-2013-birds,deepseek,3,deepseek-reasoner,1p0,20251209_164656,13816529,45559215425e1cbbb9a66f80854ad51e8da1ba6b,solutions_subset_50/mlsp-2013-birds/report/alignment_mlsp-2013-birds_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
mlsp-2013-birds,gpt,1,gpt-5_1,1p0,20251210_154406,4770866,6c3745d7df14cf8c846f9c694332e39fc2195b42,solutions_subset_50/mlsp-2013-birds/report/alignment_mlsp-2013-birds_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
mlsp-2013-birds,gpt,2,gpt-5_1,1p0,20251211_161746,4799376,88129efa0f9df0c9dbc1bee849a4a405fe921799,solutions_subset_50/mlsp-2013-birds/report/alignment_mlsp-2013-birds_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
mlsp-2013-birds,gpt,3,gpt-5_1,1p0,20251211_171620,4879237,c7338807bf8138dfddb489d8c884daa798626592,solutions_subset_50/mlsp-2013-birds/report/alignment_mlsp-2013-birds_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
new-york-city-taxi-fare-prediction,deepseek,1,deepseek-reasoner,0p0,20251206_132626,5031657,d4caf8df0176981092da160e377c0128a0069122,solutions_subset_50/new-york-city-taxi-fare-prediction/report/alignment_new-york-city-taxi-fare-prediction_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251206_132626.json
new-york-city-taxi-fare-prediction,deepseek,2,deepseek-reasoner,0p0,20251209_135057,5097832,9cd26431cfb93e37350889dee083135d096c45a3,solutions_subset_50/new-york-city-taxi-fare-prediction/report/alignment_new-york-city-taxi-fare-prediction_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
new-york-city-taxi-fare-prediction,deepseek,3,deepseek-reasoner,1p0,20251209_164656,5104771,ccdf5ad9e4bcc932ef579282c29aab16fa2f7b12,solutions_subset_50/new-york-city-taxi-fare-prediction/report/alignment_new-york-city-taxi-fare-prediction_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
new-york-city-taxi-fare-prediction,gpt,1,gpt-5_1,1p0,20251210_154406,1864818,13e61a3116934c5bb22092d2c3ee1e507fb01bfa,solutions_subset_50/new-york-city-taxi-fare-prediction/report/alignment_new-york-city-taxi-fare-prediction_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
new-york-city-taxi-fare-prediction,gpt,2,gpt-5_1,1p0,20251211_161746,1562172,35a34d69850f0e2d0c2159677d57e9414609f1c5,solutions_subset_50/new-york-city-taxi-fare-prediction/report/alignment_new-york-city-taxi-fare-prediction_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
new-york-city-taxi-fare-prediction,gpt,3,gpt-5_1,1p0,20251211_171620,1603590,b4d9d7562797cc869fd075304268f62df318d004,solutions_subset_50/new-york-city-taxi-fare-prediction/report/alignment_new-york-city-taxi-fare-prediction_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
nomad2018-predict-transparent-conductors,deepseek,1,deepseek-reasoner,0p0,20251206_132626,38101,f1994674fd336227294e63be33ad27da788d426c,solutions_subset_50/nomad2018-predict-transparent-conductors/report/alignment_nomad2018-predict-transparent-conductors_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251206_132626.json
nomad2018-predict-transparent-conductors,deepseek,2,deepseek-reasoner,0p0,20251209_135057,31146,51e2fa45f04304ece038507fdd6b69d33b44f15c,solutions_subset_50/nomad2018-predict-transparent-conductors/report/alignment_nomad2018-predict-transparent-conductors_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
nomad2018-predict-transparent-conductors,deepseek,3,deepseek-reasoner,1p0,20251209_164656,35165,a3e2fcf150e900c4f829d37b69c605c11c7ddc15,solutions_subset_50/nomad2018-predict-transparent-conductors/report/alignment_nomad2018-predict-transparent-conductors_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
nomad2018-predict-transparent-conductors,gpt,1,gpt-5_1,1p0,20251210_154406,12262,d0a159dcc4457ebe51fca6d906b3e6dc4a31d102,solutions_subset_50/nomad2018-predict-transparent-conductors/report/alignment_nomad2018-predict-transparent-conductors_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
nomad2018-predict-transparent-conductors,gpt,2,gpt-5_1,1p0,20251211_161746,8632,abbdb823dad0da07edb85808339b8a888f67da93,solutions_subset_50/nomad2018-predict-transparent-conductors/report/alignment_nomad2018-predict-transparent-conductors_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
nomad2018-predict-transparent-conductors,gpt,3,gpt-5_1,1p0,20251211_171620,11037,e2e1c716199fd831435ee6f712184cb0c09086b7,solutions_subset_50/nomad2018-predict-transparent-conductors/report/alignment_nomad2018-predict-transparent-conductors_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
petfinder-pawpularity-score,deepseek,1,deepseek-reasoner,0p0,20251206_132626,1908504,8a64a46f5fb9cff6aeb68165daf09570dd8d7815,solutions_subset_50/petfinder-pawpularity-score/report/alignment_petfinder-pawpularity-score_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251206_132626.json
petfinder-pawpularity-score,deepseek,2,deepseek-reasoner,0p0,20251209_135057,1892750,d11bba4521ad27388d703e1e6eb72bc21e73cfd1,solutions_subset_50/petfinder-pawpularity-score/report/alignment_petfinder-pawpularity-score_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
petfinder-pawpularity-score,deepseek,3,deepseek-reasoner,1p0,20251209_164656,1989049,e6f3754b7f90375e61c364aa0405b50706b2bbe1,solutions_subset_50/petfinder-pawpularity-score/report/alignment_petfinder-pawpularity-score_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
petfinder-pawpularity-score,gpt,1,gpt-5_1,1p0,20251210_154406,750010,ae7c71808ad3af53f3ff2e7a0c9e9522331a30db,solutions_subset_50/petfinder-pawpularity-score/report/alignment_petfinder-pawpularity-score_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
petfinder-pawpularity-score,gpt,2,gpt-5_1,1p0,20251211_161746,696760,8fad044aeb00e22419a715c83cacee2270f65199,solutions_subset_50/petfinder-pawpularity-score/report/alignment_petfinder-pawpularity-score_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
petfinder-pawpularity-score,gpt,3,gpt-5_1,1p0,20251211_171620,692197,2d41990d36ed28b00ce927d23b4a29634d01815e,solutions_subset_50/petfinder-pawpularity-score/report/alignment_petfinder-pawpularity-score_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
plant-pathology-2020-fgvc7,deepseek,1,deepseek-reasoner,0p0,20251206_132626,157129,b456d378204d5a10b6651407e6512302f7ce10d3,solutions_subset_50/plant-pathology-2020-fgvc7/report/alignment_plant-pathology-2020-fgvc7_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251206_132626.json
plant-pathology-2020-fgvc7,deepseek,2,deepseek-reasoner,0p0,20251209_135057,166805,e9542637860e055be4a2186f1345205dfaef917c,solutions_subset_50/plant-pathology-2020-fgvc7/report/alignment_plant-pathology-2020-fgvc7_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
plant-pathology-2020-fgvc7,deepseek,3,deepseek-reasoner,1p0,20251209_164656,148603,7c9b24d1820352dfb27bd7a85f1023016ef6f425,solutions_subset_50/plant-pathology-2020-fgvc7/report/alignment_plant-pathology-2020-fgvc7_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
plant-pathology-2020-fgvc7,gpt,1,gpt-5_1,1p0,20251210_154406,61172,3754c3fe7a4f7bd79a990d598ab4a3e6d46e18f3,solutions_subset_50/plant-pathology-2020-fgvc7/report/alignment_plant-pathology-2020-fgvc7_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
plant-pathology-2020-fgvc7,gpt,2,gpt-5_1,1p0,20251211_161746,53197,59ce9153979a432854ecd79425e3a9b583a1dea2,solutions_subset_50/plant-pathology-2020-fgvc7/report/alignment_plant-pathology-2020-fgvc7_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
plant-pathology-2020-fgvc7,gpt,3,gpt-5_1,1p0,20251211_171620,51750,906bee7d73095015b6e29ca6fb3d08a3b721a25d,solutions_subset_50/plant-pathology-2020-fgvc7/report/alignment_plant-pathology-2020-fgvc7_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
predict-volcanic-eruptions-ingv-oe,deepseek,1,deepseek-reasoner,0p0,20251206_132626,14368309,c7be4ec326d5acf80da3c92a6802174a68a6577b,solutions_subset_50/predict-volcanic-eruptions-ingv-oe/report/alignment_predict-volcanic-eruptions-ingv-oe_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251206_132626.json
predict-volcanic-eruptions-ingv-oe,deepseek,2,deepseek-reasoner,0p0,20251209_135057,14378947,4f74bcf9e8991b418d146299121f63c8a6fdc7f9,solutions_subset_50/predict-volcanic-eruptions-ingv-oe/report/alignment_predict-volcanic-eruptions-ingv-oe_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
predict-volcanic-eruptions-ingv-oe,deepseek,3,deepseek-reasoner,1p0,20251209_164656,14460613,6a1fc41de44426a98b3afed4207f29718a739053,solutions_subset_50/predict-volcanic-eruptions-ingv-oe/report/alignment_predict-volcanic-eruptions-ingv-oe_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
predict-volcanic-eruptions-ingv-oe,gpt,1,gpt-5_1,1p0,20251210_154406,5638656,5e413762cb75732a90e37bb73cabf1ba10823d27,solutions_subset_50/predict-volcanic-eruptions-ingv-oe/report/alignment_predict-volcanic-eruptions-ingv-oe_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
predict-volcanic-eruptions-ingv-oe,gpt,2,gpt-5_1,1p0,20251211_161746,5002362,443d31ff65254b7ab788a5cd45e84dbb8a1284cf,solutions_subset_50/predict-volcanic-eruptions-ingv-oe/report/alignment_predict-volcanic-eruptions-ingv-oe_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
predict-volcanic-eruptions-ingv-oe,gpt,3,gpt-5_1,1p0,20251211_171620,4901669,e9c6470d41aca17937c94a4bee33b998eea26caf,solutions_subset_50/predict-volcanic-eruptions-ingv-oe/report/alignment_predict-volcanic-eruptions-ingv-oe_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
random-acts-of-pizza,deepseek,1,deepseek-reasoner,0p0,20251206_193938,13891301,0fe82be4ad86092d1c67870cec3fe147e006e32b,solutions_subset_50/random-acts-of-pizza/report/alignment_random-acts-of-pizza_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251206_193938.json
random-acts-of-pizza,deepseek,2,deepseek-reasoner,0p0,20251209_135057,14024181,0d9d0f88446f1ffd078c9e91853e870091c79700,solutions_subset_50/random-acts-of-pizza/report/alignment_random-acts-of-pizza_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
