task,policy,sets,runs,top1,artifact_coverage
random-acts-of-pizza,full_self_report_complete,4,4,1.0,0.4916666666666667
random-acts-of-pizza,sub120_available,4,4,0.8333333333333334,0.4916666666666667
random-acts-of-pizza,artifact120_escalate_silent,4,4,1.0,0.4916666666666667
spaceship-titanic,random,1,1,0.5,0.5
spaceship-titanic,full_external,1,1,1.0,0.5
spaceship-titanic,full_self_report_available,1,1,0.0,0.5
spaceship-titanic,full_self_report_complete,1,1,0.0,0.5
spaceship-titanic,sub120_available,1,1,0.0,0.5
spaceship-titanic,artifact120_escalate_silent,1,1,1.0,0.5
spooky-author-identification,random,6,4,0.3888888888888889,0.0
spooky-author-identification,full_external,6,4,1.0,0.0
spooky-author-identification,full_self_report_available,6,4,0.8333333333333334,0.0
spooky-author-identification,full_self_report_complete,6,4,0.8333333333333334,0.0
spooky-author-identification,sub120_available,6,4,0.3888888888888889,0.0
spooky-author-identification,artifact120_escalate_silent,6,4,1.0,0.0
tabular-playground-series-dec-2021,random,3,3,0.5,0.0
tabular-playground-series-dec-2021,full_external,3,3,1.0,0.0
tabular-playground-series-dec-2021,full_self_report_available,3,3,0.8333333333333334,0.0
tabular-playground-series-dec-2021,full_self_report_complete,2,2,1.0,0.0
tabular-playground-series-dec-2021,sub120_available,3,3,0.5,0.0
tabular-playground-series-dec-2021,artifact120_escalate_silent,3,3,1.0,0.0
tabular-playground-series-may-2022,random,6,5,0.3611111111111111,0.0
tabular-playground-series-may-2022,full_external,6,5,1.0,0.0
tabular-playground-series-may-2022,full_self_report_available,6,5,0.8333333333333334,0.0
tabular-playground-series-may-2022,full_self_report_complete,6,5,0.8333333333333334,0.0
tabular-playground-series-may-2022,sub120_available,6,5,0.3611111111111111,0.0
tabular-playground-series-may-2022,artifact120_escalate_silent,6,5,1.0,0.0
text-normalization-challenge-english-language,random,5,2,0.5,0.0
text-normalization-challenge-english-language,full_external,5,2,1.0,0.0
text-normalization-challenge-english-language,full_self_report_available,5,2,0.8,0.0
text-normalization-challenge-english-language,full_self_report_complete,5,2,0.8,0.0
text-normalization-challenge-english-language,sub120_available,5,2,0.5,0.0
text-normalization-challenge-english-language,artifact120_escalate_silent,5,2,1.0,0.0
text-normalization-challenge-russian-language,random,3,1,0.5,0.0
text-normalization-challenge-russian-language,full_external,3,1,1.0,0.0
text-normalization-challenge-russian-language,full_self_report_available,3,1,1.0,0.0
text-normalization-challenge-russian-language,full_self_report_complete,3,1,1.0,0.0
text-normalization-challenge-russian-language,sub120_available,3,1,0.5,0.0
text-normalization-challenge-russian-language,artifact120_escalate_silent,3,1,1.0,0.0
tweet-sentiment-extraction,random,6,3,0.5,0.0
tweet-sentiment-extraction,full_external,6,3,1.0,0.0
tweet-sentiment-extraction,full_self_report_available,6,3,1.0,0.0
tweet-sentiment-extraction,full_self_report_complete,6,3,1.0,0.0
tweet-sentiment-extraction,sub120_available,6,3,0.5,0.0
tweet-sentiment-extraction,artifact120_escalate_silent,6,3,1.0,0.0
us-patent-phrase-to-phrase-matching,random,6,2,0.5,0.0
us-patent-phrase-to-phrase-matching,full_external,6,2,1.0,0.0
us-patent-phrase-to-phrase-matching,full_self_report_available,6,2,0.8333333333333334,0.0
us-patent-phrase-to-phrase-matching,full_self_report_complete,6,2,0.8333333333333334,0.0
us-patent-phrase-to-phrase-matching,sub120_available,6,2,0.5,0.0
us-patent-phrase-to-phrase-matching,artifact120_escalate_silent,6,2,1.0,0.0
whale-categorization-playground,random,6,1,0.5,0.0
whale-categorization-playground,full_external,6,1,1.0,0.0
whale-categorization-playground,full_self_report_available,6,1,0.5,0.0
whale-categorization-playground,full_self_report_complete,6,1,0.5,0.0
whale-categorization-playground,sub120_available,6,1,0.5,0.0
whale-categorization-playground,artifact120_escalate_silent,6,1,1.0,0.0
